System ID,System Name,School ID,School Name,Grade Cluster,2015,2016.0,2017.0,2018.0,2019.0,15 to 16,16 to 17,18 to 19,YoY Average,Average is positive?,Average score,CCRPI Score Data Availability (years),Applicable 25th Percentile,Average Score is in Top 75%?,CCRPI Scores Qualify Under Option C?,2019 BTO Designation
694,Macon County,ALL,All Schools,M,63.5,55.8,52.2,47.9,69.3,-0.121259842519685,-0.064516129032258,0.446764091858038,0.0869960401020315,Yes,57.74,2015-2019,65.54,No,No,
695,Madison County,101,Hull-Sanford Elementary School,E,82.0,80.4,62.2,77.9,70.2,-0.0195121951219512,-0.22636815920398,-0.0988446726572529,-0.114908342327728,No,74.54,2015-2019,66.04,Yes,No,Within Expected Range
695,Madison County,195,Danielsville Elementary School,E,81.1,89.2,87.2,83.1,87.7,0.0998766954377313,-0.0224215246636771,0.0553549939831529,0.044270054919069,Yes,85.66,2015-2019,66.04,Yes,Yes,Beating the Odds
695,Madison County,1050,Colbert Elementary School,E,84.6,83.5,87.1,85.4,87.0,-0.0130023640661938,0.0431137724550898,0.018735362997658,0.0162822571288513,Yes,85.52,2015-2019,66.04,Yes,Yes,Beating the Odds
695,Madison County,1052,Madison County Middle School,M,77.2,74.2,81.1,81.0,81.9,-0.038860103626943,0.0929919137466306,0.0111111111111112,0.0217476404102663,Yes,79.08,2015-2019,65.54,Yes,Yes,Beating the Odds
695,Madison County,2050,Comer Elementary School,E,86.1,89.9,85.7,78.2,85.5,0.0441347270615565,-0.0467185761957731,0.0933503836317135,0.0302555114991656,Yes,85.08,2015-2019,66.04,Yes,Yes,Within Expected Range
695,Madison County,4050,Ila Elementary School,E,86.7,87.4,89.1,74.2,82.2,0.0080738177623991,0.0194508009153317,0.107816711590296,0.0451137767560091,Yes,83.92,2015-2019,66.04,Yes,Yes,Beating the Odds
695,Madison County,5050,Madison County High School,H,75.1,82.7,83.9,76.0,75.1,0.101198402130493,0.0145102781136639,-0.011842105263158,0.0346221916603329,Yes,78.56,2015-2019,67.97,Yes,Yes,Within Expected Range
695,Madison County,ALL,All Schools,E,82.5,84.3,80.3,83.6,85.4,0.0218181818181818,-0.0474495848161329,0.021531100478469,-0.001366767506494,No,83.22,2015-2019,66.04,Yes,No,
695,Madison County,ALL,All Schools,H,73.6,82.2,83.4,76.0,75.1,0.116847826086957,0.0145985401459854,-0.011842105263158,0.039868086989928,Yes,78.06,2015-2019,67.97,Yes,Yes,
695,Madison County,ALL,All Schools,M,75.7,72.7,80.1,81.0,81.9,-0.0396301188903567,0.101788170563961,0.0111111111111112,0.024423054261572,Yes,78.28,2015-2019,65.54,Yes,Yes,
696,Marion County,197,L. K. Moss Elementary School,E,72.6,68.5,67.0,57.6,72.9,-0.0564738292011019,-0.0218978102189781,0.265625,0.0624177868599734,Yes,67.72,2015-2019,66.04,Yes,Yes,Beating the Odds
696,Marion County,275,Marion County Middle/High School,H,69.9,81.1,87.9,72.0,68.5,0.160228898426323,0.0838471023427868,-0.0486111111111111,0.065154963219333,Yes,75.88,2015-2019,67.97,Yes,Yes,Within Expected Range
696,Marion County,275,Marion County Middle/High School,M,68.7,60.3,70.7,64.8,62.0,-0.122270742358079,0.172470978441128,-0.0432098765432098,0.0023301198466131,Yes,65.3,2015-2019,65.54,No,No,Within Expected Range
696,Marion County,ALL,All Schools,E,72.1,68.5,67.0,57.6,72.9,-0.0499306518723994,-0.0218978102189781,0.265625,0.0645988459695409,Yes,67.62,2015-2019,66.04,Yes,Yes,
696,Marion County,ALL,All Schools,H,69.9,81.1,87.4,72.0,68.5,0.160228898426323,0.0776818742293466,-0.0486111111111111,0.0630998871815196,Yes,75.78,2015-2019,67.97,Yes,Yes,
696,Marion County,ALL,All Schools,M,68.7,60.3,70.2,64.8,62.0,-0.122270742358079,0.164179104477612,-0.0432098765432098,-0.0004338381412254,No,65.2,2015-2019,65.54,No,No,
697,McDuffie County,112,Thomson-McDuffie Middle School,M,64.5,64.2,67.6,51.6,63.4,-0.0046511627906976,0.0529595015576323,0.228682170542636,0.0923301697698568,Yes,62.26,2015-2019,65.54,No,No,Below Expected Range
697,McDuffie County,113,Norris Elementary School,E,56.2,56.5,65.5,60.4,71.4,0.0053380782918149,0.15929203539823,0.182119205298013,0.115583106329353,Yes,62.0,2015-2019,66.04,No,No,Beating the Odds
697,McDuffie County,179,Maxwell Elementary School,E,,,,48.5,66.6,,,0.37319587628866,0.37319587628866,Yes,57.55,2018-2019,65.75,No,No,Within Expected Range
697,McDuffie County,191,Dearing Elementary School,E,77.6,79.0,67.3,61.5,70.0,0.0180412371134021,-0.148101265822785,0.138211382113821,0.0027171178014794,Yes,71.08,2015-2019,66.04,Yes,Yes,Below Expected Range
697,McDuffie County,192,Thomson High School,H,57.9,62.7,62.0,63.7,67.9,0.0829015544041452,-0.0111642743221691,0.065934065934066,0.045890448672014,Yes,62.84,2015-2019,67.97,No,No,Below Expected Range
697,McDuffie County,4050,Thomson Elementary School,E,,,,46.0,65.0,,,0.41304347826087,0.41304347826087,Yes,55.5,2018-2019,65.75,No,No,Within Expected Range
697,McDuffie County,ALL,All Schools,E,61.5,61.7,62.6,60.8,70.5,0.0032520325203252,0.0145867098865478,0.159539473684211,0.0591260720303612,Yes,63.42,2015-2019,66.04,No,No,
697,McDuffie County,ALL,All Schools,H,57.4,62.2,61.5,63.7,67.9,0.083623693379791,-0.0112540192926045,0.065934065934066,0.0461012466737508,Yes,62.54,2015-2019,67.97,No,No,
697,McDuffie County,ALL,All Schools,M,64.5,62.7,66.1,51.6,63.4,-0.027906976744186,0.0542264752791067,0.228682170542636,0.0850005563591855,Yes,61.66,2015-2019,65.54,No,No,
698,McIntosh County,101,McIntosh County Middle School,M,71.9,64.8,66.6,59.5,70.1,-0.0987482614742699,0.0277777777777777,0.178151260504202,0.0357269256025698,Yes,66.58,2015-2019,65.54,Yes,Yes,Within Expected Range
698,McIntosh County,104,McIntosh Academy,H,81.7,72.0,74.0,70.9,68.2,-0.118727050183599,0.0277777777777778,-0.0380818053596615,-0.0430103592551608,No,73.36,2015-2019,67.97,Yes,No,Within Expected Range
698,McIntosh County,105,Oak Grove Intermediate School,E,75.5,55.9,,,,-0.259602649006623,,,-0.259602649006623,No,65.7,2015-2016,63.7,Yes,No,
698,McIntosh County,205,Todd Grant Elementary School,E,,,51.4,57.3,63.6,,,0.109947643979058,0.109947643979058,Yes,60.45,2018-2019,65.75,No,No,Below Expected Range
698,McIntosh County,ALL,All Schools,E,77.9,54.9,51.4,57.3,63.6,-0.295250320924262,-0.063752276867031,0.109947643979058,-0.0830183179374118,No,61.02,2015-2019,66.04,No,No,
698,McIntosh County,ALL,All Schools,H,81.7,71.5,74.0,70.9,68.2,-0.12484700122399,0.034965034965035,-0.0380818053596615,-0.0426545905395389,No,73.26,2015-2019,67.97,Yes,No,
698,McIntosh County,ALL,All Schools,M,71.4,63.8,65.6,59.5,70.1,-0.106442577030812,0.0282131661442006,0.178151260504202,0.0333072832058632,Yes,66.08,2015-2019,65.54,Yes,Yes,
699,Meriwether County,100,Unity Elementary School (PK-5),E,63.3,49.2,57.4,60.6,56.8,-0.222748815165877,0.166666666666667,-0.0627062706270628,-0.0395961397087576,No,57.46,2015-2019,66.04,No,No,Below Expected Range
699,Meriwether County,100,Unity Elementary School (PK-6),M,55.6,51.6,,,,-0.0719424460431655,,,-0.0719424460431655,No,53.6,2015-2016,63.4625,No,No,
699,Meriwether County,102,George E. Washington Elementary School (PK-5),E,44.6,52.3,53.1,49.5,50.6,0.172645739910314,0.0152963671128108,0.0222222222222223,0.0700547764151156,Yes,50.02,2015-2019,66.04,No,No,Below Expected Range
