ID_NUMBER,FACILITY_NAME,ACTIVITY_LOCATION,FULL_ENFORCEMENT,HREPORT_UNIVERSE_RECORD,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,LONGITUDE83,FED_WASTE_GENERATOR,TRANSPORTER,ACTIVE_SITE,OPERATING_TSDF
GAD047957501,MARIETTA TOYOTA,GA,------,Other,750 COBB PKWY,MARIETTA,GA,30061,33.933357,-84.5112,N  ,N  ,-----,------         
GAD047964291,CHEMRESOL INC,GA,------,Other,CRISPEN BLVD,BRUNSWICK,GA,31521,31.15,-81.491667,N  ,N  ,-----,------         
GAD003281292,BORDEN DAIRY & SERVICES,GA,------,Other,914 TELFAIR ST,AUGUSTA,GA,30901,33.472857,-81.969302,N  ,N  ,-----,------         
GAD003281300,BORDEN DAIRY & SERVICES,GA,------,Other,4700 PIO NONO AVE,MACON,GA,31206,32.77385,-83.659901,N  ,N  ,-----,------         
GAR000022467,ENVIRONMENTAL RECOVERY INC,GA,------,Other,449 WEST RD,CAIRO,GA,31728,,,N  ,N  ,-----,------         
GAR000022475,FOUR STAR OIL CO INC,GA,------,Other,408 WEST RD STE 2,CAIRO,GA,31728,,,N  ,N  ,-----,------         
GAR000022483,COMPOSITE RESEARCH INC,GA,------,VSQG,6131 SUNDANCE RD,BLACKSHEAR,GA,31516,31.268783,-82.273977,3  ,N  ,H----,------         
GAR000022491,A TO Z AUTO SALVAGE,GA,------,Other,8165 GULLATT RD,PALMETTO,GA,30268,,,N  ,N  ,-----,------         
GAR000021824,COMMERCIAL PROPERTY,GA,------,Other,157 SOUTH FAIRGROUND STREET,MARIETTA,GA,30060,,,N  ,N  ,-----,------         
GAR000021840,C & G PETROLEUM CO,GA,------,Other,2191 INDUSTRIAL PARK DR,CAIRO,GA,31728,,,N  ,N  ,-----,------         
GAR000021337,SHIPLEY CO LLC,GA,------,Other,3936 GREEN IND WAY,CHAMBLEE,GA,30341,,,N  ,N  ,-----,------         
GAD981277767,SCHWARTZ L E & SON INC,GA,------,VSQG,279 REID ST,MACON,GA,31208,32.816781,-83.637144,3  ,N  ,H----,------         
GAD984289603,LEND LEASE TRUCKS INC,GA,------,Other,7290 DELTA CIRCLE,AUSTELL,GA,30001,33.777509,-84.543009,N  ,N  ,-----,------         
GAD984289611,LEND LEASE TRUCKS INC,GA,------,Other,200 OLD LINDALE RD E,ROME,GA,30161,34.218843,-85.174058,N  ,N  ,-----,------         
GAD981277015,FLASH FOODS #01,GA,------,Other,505 REYNOLDS ST,WAYCROSS,GA,31501,31.206517,-82.355842,N  ,N  ,-----,------         
GAD981277031,FLASH FOODS #11,GA,------,Other,1200 BLACKSHEAR AVE,WAYCROSS,GA,31501,31.235844,-82.344277,N  ,N  ,-----,------         
GAD981277049,FLASH FOODS #127,GA,------,Other,2307 PLANT AVE,WAYCROSS,GA,31501,31.225942,-82.338852,N  ,N  ,-----,------         
GAR000016170,CVS PHARMACY #3646,GA,------,Other,1520 ATLANTA HIGHWAY NE,AUBURN,GA,30011,,,N  ,N  ,-----,------         
GAD981221575,PROFESSIONAL CLEANERS,GA,------,Other,10800 ALPHARETTA ST SUITE 212,ROSWELL,GA,30076,34.046471,-84.340031,N  ,N  ,-----,------         
GAD981221237,ROYAL CLEANERS,GA,------,Other,5119 JIMMY CARTER BLVD,NORCROSS,GA,30093,33.897834,-84.200571,N  ,N  ,-----,------         
GAD981221260,EVANS COMPANIES INC,GA,------,Other,157 N SALEM RD,CONYERS,GA,30013-1554,33.640276,-83.976266,N  ,N  ,-----,------         
GAD984317214,SING FOOD STORE,GA,------,Other,5155 WARM SPRINGS RD,COLUMBUS,GA,31909,32.530705,-84.909545,N  ,N  ,-----,------         
GAD984317230,SING FOOD STORE,GA,------,Other,4410 MACON RD,COLUMBUS,GA,31907,32.493266,-84.912625,N  ,N  ,-----,------         
GAD984317776,EMMANUEL COLLEGE,GA,------,VSQG,181 SPRING ST,FRANKLIN SPRINGS,GA,30639-0129,34.282008,-83.146621,3  ,N  ,H----,------         
GAD984317784,DANIELS CHEVROLET COMPANY,GA,------,VSQG,HWY 30 EAST & HWY 56,SWAINSBORO,GA,30401,32.598684,-82.331379,3  ,N  ,H----,------         
GAD984317263,SING FOOD STORE,GA,------,Other,1040 FLOYD RD,COLUMBUS,GA,31907,32.468368,-84.911066,N  ,N  ,-----,------         
GAD984307025,HOLBROOK FOOD MARKET,GA,------,Other,1310 CANTON HWY,CUMMING,GA,30130,34.232372,-84.168885,N  ,N  ,-----,------         
GAD984317370,AUTOMATED LOGIC CORP,GA,------,Other,1283 KENNESTONE CIRCLE,MARIETTA,GA,30066,33.97968,-84.550151,N  ,N  ,-----,------         
GAD991274929,CHLORIDE AUTOMOTIVE BATTERIES,GA,------,Other,JOY RD,COLUMBUS,GA,31903,32.433889,-84.933333,N  ,N  ,-----,------         
GAD984316836,HENRY SIGN SYSTEMS,GA,------,SQG,2285 PARK CENTRAL BLVD,DECATUR,GA,30035,33.721312,-84.172212,2  ,N  ,H----,------         
GAD984316315,ARMECH CO INC,GA,------,Other,845 MCFARLAND RD,ALPHARETTA,GA,30201,34.120825,-84.223,N  ,N  ,-----,------         
GAD984296251,YOUNG PETROLEUM PRODUCTS INC,GA,------,Other,1156 MEREWETHER ST,GRIFFIN,GA,30223,33.237795,-84.282955,N  ,N  ,-----,------         
GAD984295527,GRIFFIN DISTRIBUTION,GA,------,Other,410 E TAYLOR STREET,GRIFFIN,GA,30223,33.24701,-84.258431,N  ,N  ,-----,------         
GAD984295782,KANGAROO #5,GA,------,Other,1724 ATLANTA HWY,GAINESVILLE,GA,30504,34.278004,-83.840576,N  ,N  ,-----,------         
GAD984295816,KANGAROO #8,GA,------,Other,3471 MUNDY MILL ROAD,FLOWERY BRANCH,GA,30542,,,N  ,N  ,-----,------         
GAD984295832,KANGAROO #10,GA,------,Other,1878 THOMPSON BRIDGE RD,GAINESVILLE,GA,30501,34.330262,-83.839357,N  ,N  ,-----,------         
GAD984295840,KANGAROO #11,GA,------,Other,1667 BROWNS BRIDGE RD,GAINESVILLE,GA,30501,34.285716,-83.842949,N  ,N  ,-----,------         
GAD984295857,KANGAROO #12,GA,------,Other,1680 PARK HILL DR,GAINESVILLE,GA,30501,34.326999,-83.814179,N  ,N  ,-----,------         
