ID_NUMBER,ACTIVITY_LOCATION,VIOLATION_TYPE,VIOLATION_TYPE_DESC,VIOL_DETERMINED_BY_AGENCY,DATE_VIOLATION_DETERMINED,ACTUAL_RTC_DATE,SCHEDULED_COMPLIANCE_DATE
GAD003264850,GA,262.A,Standards Applicable to Generators of HW: General,S  ,09/13/2001,12/12/2001,12/10/2001
GAD070330576,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,03/07/2006,04/18/2006,
GAD981266208,GA,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,12/09/2002,07/08/2003,01/18/2003
GAD981024458,GA,262.A,Standards Applicable to Generators of HW: General,E  ,06/25/2003,06/25/2003,
GAD981268014,GA,262.A,Standards Applicable to Generators of HW: General,S  ,01/30/2003,04/01/2003,
GAR000021295,GA,262.A,Standards Applicable to Generators of HW: General,S  ,11/19/2007,03/10/2008,01/14/2008
GAR000009530,GA,263.A,Standards Applicable to Transporters of HW: General,S  ,06/13/2003,09/30/2003,
GA0210020368,GA,262.A,Standards Applicable to Generators of HW: General,S  ,08/06/2003,10/08/2003,09/30/2003
GAD981269095,GA,262.A,Standards Applicable to Generators of HW: General,S  ,11/25/2003,11/22/2004,
GAR000034256,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,07/22/2003,11/17/2003,
GA6202932244,GA,262.A,Standards Applicable to Generators of HW: General,S  ,08/03/2004,02/09/2005,
GA1570024330,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,02/18/2004,05/30/2004,05/01/2004
GAR000015024,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,07/22/2004,11/29/2004,
GAR000036400,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/24/2005,06/28/2005,06/30/2005
GAR000020495,GA,262.A,Standards Applicable to Generators of HW: General,S  ,09/02/2004,01/25/2005,
GAD045832805,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,04/19/2005,06/15/2005,06/17/2005
GA9210020872,GA,262.A,Standards Applicable to Generators of HW: General,S  ,11/16/2005,03/21/2006,
GAD000776781,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,07/06/2005,10/31/2005,
GAD981021314,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,02/22/2016,05/05/2016,04/26/2016
GA0002330645,GA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,10/25/2005,12/13/2005,12/16/2005
GAD003306750,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,06/21/2006,09/29/2006,09/29/2006
GAR000031831,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,04/01/2005,08/29/2006,
GAD991275900,GA,262.A,Standards Applicable to Generators of HW: General,S  ,08/31/2006,02/09/2007,01/15/2007
GAD981243942,GA,279.F,Standards for Used Oi:l Processors and Re-Refiners,E  ,12/21/2005,08/30/2006,
GAD080084361,GA,262.A,Standards Applicable to Generators of HW: General,S  ,09/09/2005,11/08/2005,
GAD010103232,GA,264.G,Standards for Owners and Operators of HW TSDs: Closure and Post-Closure,S  ,09/19/2006,10/20/2006,
GAR000043547,GA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,12/07/2005,07/26/2006,
GAD984292185,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,05/17/2007,09/28/2007,
GAD042710590,GA,262.A,Standards Applicable to Generators of HW: General,S  ,04/17/2007,06/28/2007,06/22/2007
GAD981234057,GA,279.C,Standards for Used Oil: Generators,S  ,05/20/2006,05/22/2007,08/25/2006
GAR000014464,GA,262.A,Standards Applicable to Generators of HW: General,S  ,03/14/2006,11/20/2006,
GAD981234230,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,01/27/2006,02/02/2006,
GAR000049577,GA,273.C,Standards for Universal Waste Management: Standards for Large Quantity Handlers ,S  ,05/15/2007,08/23/2007,06/23/2007
GAD981268709,GA,279.C,Standards for Used Oil: Generators,S  ,10/29/2007,10/29/2007,
GAD984309716,GA,279.C,Standards for Used Oil: Generators,S  ,06/08/2006,11/13/2006,11/10/2006
GAD054216486,GA,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,11/08/2006,11/30/2006,
GAD981027147,GA,279.C,Standards for Used Oil: Generators,S  ,04/05/2007,05/24/2007,05/31/2007
GAD981223266,GA,262.A,Standards Applicable to Generators of HW: General,S  ,01/12/2007,08/13/2007,03/14/2007
GAD084914787,GA,265.W,Interim Status Standards for Owners and Operators of HW TSDs: Drip Pads,S  ,04/20/2007,07/16/2007,07/03/2007
GAR000035428,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/25/2007,06/28/2007,
GAR000042911,GA,279.C,Standards for Used Oil: Generators,S  ,02/11/2008,03/06/2008,03/26/2008
GAR000017319,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,04/01/2010,06/10/2010,06/03/2010
GAR000062745,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,09/27/2016,12/21/2017,
GAD981282932,GA,268.A,Land Disposal Restrictions: General,S  ,04/10/2008,11/26/2008,
GAD980845077,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,04/01/2008,04/16/2008,04/18/2008
GAD051011344,GA,262.A,Standards Applicable to Generators of HW: General,S  ,09/20/2007,05/15/2009,
GAR000058412,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,12/09/2011,01/25/2012,
GAD063152573,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,E  ,01/11/2012,04/13/2012,
GAD991275900,GA,264.F,Standards for Owners and Operators of HW TSDs: Releases from Solid Waste Management Units,S  ,07/25/2007,10/24/2007,
GAD075876623,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,06/14/2012,07/20/2012,06/19/2012
GAR000025072,GA,268.A,Land Disposal Restrictions: General,S  ,10/02/2008,11/25/2008,
GAD093380814,GA,PCR,Violation of a permit condition or requirement,S  ,07/29/2009,10/11/2011,11/29/2011
GAR000057943,GA,279.C,Standards for Used Oil: Generators,S  ,07/30/2014,09/10/2014,09/26/2014
GAR000071001,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,E  ,04/02/2014,08/11/2014,
GAR000006940,GA,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Facility Standards,E  ,04/30/2014,02/23/2015,
GAR000052977,GA,262.A,Standards Applicable to Generators of HW: General,S  ,06/19/2008,07/14/2008,
GAD980729974,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,11/04/2009,01/07/2010,
GAD041013657,GA,279.C,Standards for Used Oil: Generators,S  ,04/05/2011,08/18/2011,
GAD051034387,GA,PCR,Violation of a permit condition or requirement,S  ,04/27/2011,06/03/2011,
GAR000031971,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,04/06/2011,06/28/2011,05/17/2011
GAR000034975,GA,279.C,Standards for Used Oil: Generators,S  ,12/17/2008,12/17/2008,
GAR000004218,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,05/21/2008,05/23/2008,
GAD981216922,GA,268.A,Land Disposal Restrictions: General,S  ,07/16/2009,09/30/2009,09/21/2009
GAD981282981,GA,279.C,Standards for Used Oil: Generators,S  ,02/23/2010,04/29/2010,03/29/2010
GAD980729974,GA,PCR,Violation of a permit condition or requirement,S  ,05/01/2008,08/12/2008,
GAD003273224,GA,264.F,Standards for Owners and Operators of HW TSDs: Releases from Solid Waste Management Units,S  ,08/27/2008,10/23/2008,
GA1570024330,GA,PCR,Violation of a permit condition or requirement,S  ,09/22/2009,09/22/2009,
GAD093380814,GA,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,11/10/2008,11/18/2008,
GAD084914787,GA,PCR,Violation of a permit condition or requirement,S  ,08/01/2008,09/16/2008,
GAR000057414,GA,279.E,Standards for Used Oil: Transporter and Transfer Facilities,S  ,02/16/2012,11/16/2012,05/23/2012
GAD073460941,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,E  ,08/17/2012,09/30/2016,
GA0000264564,GA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,11/27/2012,01/25/2013,01/28/2013
GAD000828269,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,03/05/2018,05/03/2018,05/02/2018
GAD981023328,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,04/18/2018,06/21/2018,05/18/2018
GAD980729974,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,09/14/2011,12/20/2011,12/23/2011
GAR000078279,GA,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,E  ,10/25/2017,04/30/2018,
GAD981225915,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,02/05/2018,03/09/2018,03/09/2018
GAD051034387,GA,PCR,Violation of a permit condition or requirement,S  ,03/29/2018,04/13/2018,04/16/2018
GAR000010504,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,11/15/2011,01/19/2012,
GAR000057109,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,01/04/2010,02/23/2010,02/23/2010
GAR000034983,GA,279.C,Standards for Used Oil: Generators,S  ,08/12/2010,09/28/2010,10/08/2010
GAD981241482,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,04/01/2010,06/08/2010,06/07/2010
GAD991275900,GA,PCR,Violation of a permit condition or requirement,S  ,03/07/2013,07/11/2013,
GAD981238165,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,06/18/2009,08/26/2009,08/06/2009
GAD070330576,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,09/28/2009,11/17/2009,
GAD003299526,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,05/21/2013,07/30/2013,07/06/2013
GAR000064238,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,12/07/2012,01/10/2013,02/02/2013
GAD051011344,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,12/15/2010,12/02/2011,
GAD984312058,GA,262.A,Standards Applicable to Generators of HW: General,S  ,01/08/2009,02/05/2009,02/23/2009
GAD004065520,GA,PCR,Violation of a permit condition or requirement,S  ,08/19/2008,11/04/2008,10/27/2008
GAD981233307,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/19/2009,03/19/2009,
GAD981241870,GA,262.A,Standards Applicable to Generators of HW: General,S  ,04/21/2010,05/27/2010,06/01/2010
GAR000014001,GA,262.A,Standards Applicable to Generators of HW: General,S  ,11/30/2020,01/19/2021,02/18/2021
GAD981270804,GA,262.A,Standards Applicable to Generators of HW: General,S  ,07/29/2020,12/17/2020,12/18/2020
GAD061022216,GA,262.A,Standards Applicable to Generators of HW: General,S  ,06/02/2021,11/05/2021,
GAR000030296,GA,261.A,ID and Listing of HW: General,S  ,09/28/2020,12/14/2020,12/21/2020
GAD003298684,GA,261.A,ID and Listing of HW: General,S  ,08/17/2020,08/17/2020,12/10/2020
GAR000050757,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,07/09/2019,01/13/2020,01/08/2020
GAD981236490,GA,262.M,"Standards Applicable to Generators of HW: Preparedness. Prevention, and Emergency Procedures for LQGs",S  ,08/05/2019,10/25/2019,10/18/2019
GAD991275900,GA,273.C,Standards for Universal Waste Management: Standards for Large Quantity Handlers ,S  ,10/31/2014,02/12/2015,
GAR000012534,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,07/31/2014,01/21/2015,03/01/2015
GAR000085795,GA,262.L,Standards Applicable to Generators of HW: Alternative Standards for Episodic Generators,S  ,04/25/2019,05/07/2020,05/29/2020
GAR000092494,GA,262.A,Standards Applicable to Generators of HW: General,S  ,08/08/2024,09/12/2024,
GAR000050757,GA,262.A,Standards Applicable to Generators of HW: General,S  ,12/14/2023,12/29/2023,
GAR000093773,GA,262.M,"Standards Applicable to Generators of HW: Preparedness. Prevention, and Emergency Procedures for LQGs",S  ,06/06/2023,07/07/2023,08/04/2023
GAR000094110,GA,262.A,Standards Applicable to Generators of HW: General,E  ,01/17/2024,,
GAR000022368,GA,262.A,Standards Applicable to Generators of HW: General,S  ,10/17/2023,05/20/2024,
GAR000096511,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,03/01/2024,07/29/2024,
GAD003285665,GA,262.A,Standards Applicable to Generators of HW: General,E  ,05/18/2022,06/15/2022,
GAR000094110,GA,273.E,Standards for Universal Waste Management: Standards for Destination Facilities,S  ,10/28/2024,,
GAR000093302,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,03/01/2024,08/12/2024,
GAD981024458,GA,262.M,"Standards Applicable to Generators of HW: Preparedness. Prevention, and Emergency Procedures for LQGs",S  ,09/27/2023,11/18/2024,
GAR000014001,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,03/07/2025,04/14/2025,
GAR000096453,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,03/01/2024,08/29/2024,
GAR000085118,GA,262.A,Standards Applicable to Generators of HW: General,S  ,03/25/2025,,
GAD981282411,GA,262.M,"Standards Applicable to Generators of HW: Preparedness. Prevention, and Emergency Procedures for LQGs",S  ,02/15/2023,05/12/2023,05/15/2023
GAD981243868,GA,262.M,"Standards Applicable to Generators of HW: Preparedness. Prevention, and Emergency Procedures for LQGs",S  ,01/18/2024,04/23/2024,04/17/2024
GA0210020368,GA,262.M,"Standards Applicable to Generators of HW: Preparedness. Prevention, and Emergency Procedures for LQGs",S  ,04/26/2023,08/21/2024,
GAD003323805,GA,279.C,Standards for Used Oil: Generators,S  ,09/08/2022,01/20/2023,12/07/2022
GAD981275423,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,05/12/2022,11/09/2022,11/11/2022
GAR000052068,GA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,E  ,02/15/2022,12/08/2022,
GAD984303206,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,04/05/2022,06/28/2022,07/03/2022
GA0570024109,GA,262.A,Standards Applicable to Generators of HW: General,S  ,09/27/2022,11/16/2022,
GAR000057992,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,E  ,02/15/2022,12/08/2022,
GAD003299526,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,09/23/2022,11/18/2022,12/15/2022
GAD984303982,GA,262.A,Standards Applicable to Generators of HW: General,S  ,09/26/2000,10/30/2000,
GAR000005413,GA,262.A,Standards Applicable to Generators of HW: General,S  ,12/05/2000,02/27/2001,02/28/2001
GAD991275710,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,09/10/1985,12/13/1985,12/02/1985
GAR000009670,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,11/14/1998,02/05/1999,01/18/1999
GAD030035356,GA,262.A,Standards Applicable to Generators of HW: General,S  ,03/01/1984,07/11/1985,
GAD010103232,GA,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Monitoring,S  ,05/21/1992,06/03/1992,07/16/1992
GAD066465824,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,01/23/1987,07/31/1987,
GAD003308145,GA,268.A,Land Disposal Restrictions: General,E  ,01/30/1996,02/28/1996,
GAD003308145,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,E  ,01/30/1996,02/28/1996,
GA1570024330,GA,262.A,Standards Applicable to Generators of HW: General,S  ,06/24/1999,06/24/1999,06/24/1999
GAD084914787,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,02/22/1995,03/27/1995,03/26/1995
GAD980729743,GA,262.A,Standards Applicable to Generators of HW: General,S  ,01/20/1989,04/11/1989,03/06/1989
GAD980842777,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,06/21/1991,08/08/1991,07/22/1991
GAD984285742,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/18/1996,04/25/1996,
GAR000004937,GA,268.A,Land Disposal Restrictions: General,S  ,05/22/1997,10/27/1999,07/23/1999
GAD984310755,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,09/22/1995,11/21/1995,10/23/1995
GAD981279045,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,04/15/1992,09/14/1992,08/19/1992
GA4170090001,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,05/20/1994,05/20/1994,05/31/1994
GAD984306936,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,03/15/1996,04/12/1996,06/03/1996
GA7170023694,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,11/21/1986,09/28/1987,
GA7170023694,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,02/27/1987,06/11/1987,
GAD984273979,GA,266.H,Standards for the Management of Specific HW and Specific Types of HW Management Facilities: Hazardous Waste Burned in Boilers and Industrial Furnaces,S  ,09/28/1994,01/09/1995,
GA0210020046,GA,262.A,Standards Applicable to Generators of HW: General,S  ,10/19/1995,12/19/1995,12/15/1995
GAR000000737,GA,262.A,Standards Applicable to Generators of HW: General,S  ,03/17/1999,03/30/1999,04/30/1999
GAD984320218,GA,263.B,Standards Applicable to Transporters of HW: Compliance with the Manifest System and Recordkeeping,S  ,06/29/1995,09/12/1996,
GAD984273813,GA,268.A,Land Disposal Restrictions: General,S  ,03/26/1998,07/14/1998,05/25/1998
GAD981474059,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,09/19/1992,10/26/1992,10/15/1992
GAD984321117,GA,264.L,Standards for Owners and Operators of HW TSDs: Waste Piles,E  ,02/24/1994,03/24/1994,
GAD984279794,GA,263.A,Standards Applicable to Transporters of HW: General,S  ,03/28/1991,05/06/1991,05/10/1991
GAD000823096,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,07/02/1993,07/02/1993,
GA4210022733,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,05/18/1992,06/24/1992,06/05/1992
GAD991275124,GA,FEA,Violation of a formal enforcement agreement or order. (3008(a) or 3013),S  ,12/12/1984,12/03/1985,
GAD042125146,GA,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Monitoring,S  ,06/17/1999,07/13/1999,
GAD981224942,GA,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Monitoring,S  ,02/01/1992,02/21/1992,
GAD054228432,GA,268.A,Land Disposal Restrictions: General,S  ,11/15/1991,01/31/1994,12/27/1991
GAD981026388,GA,268.A,Land Disposal Restrictions: General,S  ,03/21/1991,04/25/1991,05/04/1991
GAD041013657,GA,270.B,EPA Administered Permit Programs: the HW Permit Program Permit Application,S  ,12/06/1991,09/30/1992,04/15/1992
GAD070330576,GA,264.G,Standards for Owners and Operators of HW TSDs: Closure and Post-Closure,S  ,08/24/1984,01/25/1985,
GAD037878899,GA,262.A,Standards Applicable to Generators of HW: General,S  ,12/19/1990,04/04/1994,03/18/1991
GAD000823070,GA,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,06/10/1987,10/23/1987,
GAD042216549,GA,268.A,Land Disposal Restrictions: General,S  ,06/18/1990,09/15/1993,
GAD041007063,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,04/21/1988,08/25/1988,
GAD033842543,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,12/03/1999,01/26/2000,
GAD000222083,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,07/22/1999,08/24/1999,
GAD000222083,GA,268.A,Land Disposal Restrictions: General,S  ,03/07/1994,03/07/1994,
GA7180000179,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,11/14/2007,01/09/2008,
GAD981224942,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,09/19/1991,04/02/1992,
GAD040673469,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,09/25/1995,11/30/1995,
GAD981225006,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,07/24/1995,09/29/1995,
GAD084914787,GA,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Monitoring,S  ,08/21/1987,02/11/1988,
GAD003323805,GA,268.A,Land Disposal Restrictions: General,S  ,09/30/1993,02/02/1994,
GAD980515647,GA,268.A,Land Disposal Restrictions: General,S  ,11/08/1989,01/10/1990,01/12/1990
GAD054216486,GA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,08/29/1991,03/08/1993,10/30/1991
GAD033842543,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,07/21/1997,08/04/1997,
GAD033689282,GA,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,08/03/1999,01/24/2002,
GAD000222083,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,02/07/1985,02/12/1987,03/01/1985
GAD981233984,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/26/1995,06/14/1995,04/03/1995
GAD075876623,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,07/16/1991,08/12/1991,08/13/1991
GAD066465824,GA,268.A,Land Disposal Restrictions: General,S  ,08/18/1992,10/13/1992,
GAD981260953,GA,262.A,Standards Applicable to Generators of HW: General,S  ,07/25/1989,10/01/1990,
GAD981235260,GA,262.A,Standards Applicable to Generators of HW: General,S  ,06/13/2000,07/26/2000,07/21/2000
GAD003264256,GA,262.A,Standards Applicable to Generators of HW: General,S  ,11/28/1984,01/16/1985,01/05/1985
GAD093380814,GA,264.J,Standards for Owners and Operators of HW TSDs: Tank Systems,S  ,11/10/1999,06/19/2000,
GAD033842543,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,04/04/2000,09/14/2000,
GAD033842543,GA,268.A,Land Disposal Restrictions: General,S  ,09/24/1987,12/18/1987,11/18/1987
GAD079195251,GA,262.A,Standards Applicable to Generators of HW: General,S  ,08/13/1998,09/16/1998,12/07/1998
GAD070330576,GA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,12/13/1989,11/06/1990,
GAD061921052,GA,264.G,Standards for Owners and Operators of HW TSDs: Closure and Post-Closure,S  ,01/17/1996,05/06/1996,
GAD061921052,GA,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Monitoring,S  ,08/22/1997,09/15/1997,
GAD003308335,GA,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Monitoring,S  ,03/02/1989,04/06/1989,
GAD030058713,GA,262.A,Standards Applicable to Generators of HW: General,S  ,06/26/1990,09/14/1990,08/06/1990
GAD073425951,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/05/1997,03/25/1997,
GAD981235880,GA,262.A,Standards Applicable to Generators of HW: General,S  ,05/10/1994,06/20/1994,05/31/1994
GAD980803860,GA,262.A,Standards Applicable to Generators of HW: General,S  ,05/31/1995,01/19/1996,
GAD094075553,GA,264.G,Standards for Owners and Operators of HW TSDs: Closure and Post-Closure,S  ,04/18/1991,06/27/1991,
GAD094075553,GA,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Monitoring,S  ,02/06/1992,10/14/1995,
GAD000609917,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,06/09/1994,07/01/1996,
GAD005808282,GA,268.A,Land Disposal Restrictions: General,S  ,07/24/1997,10/15/1997,09/12/1997
GAD003401106,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/30/1999,08/02/1999,
GAD003275252,GA,264.S,Standards for Owners and Operators of HW TSDs: Special Provisions for Cleanup,S  ,09/20/1999,06/22/2000,
GAD003274545,GA,262.A,Standards Applicable to Generators of HW: General,S  ,08/14/1989,01/03/1990,10/13/1989
GAD000609941,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,02/22/1995,07/01/1996,
GAD004065520,GA,268.A,Land Disposal Restrictions: General,S  ,09/24/1991,11/04/1991,10/29/1991
GAD003275252,GA,268.A,Land Disposal Restrictions: General,S  ,10/08/1991,12/03/1991,11/15/1991
GA9210020872,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,09/27/1989,07/11/1990,
GAD000609800,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,05/18/1995,03/24/1996,
GAD004058384,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,01/16/1984,03/23/1984,03/26/1984
GAD006924872,GA,270.B,EPA Administered Permit Programs: the HW Permit Program Permit Application,S  ,08/24/1995,10/15/1998,
GAD003289808,GA,268.A,Land Disposal Restrictions: General,S  ,09/12/1990,02/05/1991,12/21/1990
GAD000814541,GA,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,01/30/1985,12/02/1985,08/16/1985
GAD000821934,GA,264.D,Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Procedures,S  ,01/26/1999,03/29/1999,
GAR000047928,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,10/23/2007,12/04/2007,
GAD984312348,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/07/2006,12/06/2006,
GAD980726491,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,11/02/2015,01/22/2016,02/15/2016
GAD980726491,GA,279.C,Standards for Used Oil: Generators,S  ,11/02/2015,01/22/2016,02/15/2016
GAR000006569,GA,262.A,Standards Applicable to Generators of HW: General,S  ,12/07/2000,02/07/2001,02/07/2001
