ID_NUMBER,ACTIVITY_LOCATION,VIOLATION_TYPE,VIOLATION_TYPE_DESC,VIOL_DETERMINED_BY_AGENCY,DATE_VIOLATION_DETERMINED,ACTUAL_RTC_DATE,SCHEDULED_COMPLIANCE_DATE
GAD045833720,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,06/27/2007,09/07/2007,09/10/2007
GAR000050237,GA,279.C,Standards for Used Oil: Generators,S  ,04/15/2009,04/15/2009,
GAD000821934,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,06/06/2012,07/26/2012,07/23/2012
GAD991303991,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,02/07/2008,04/14/2008,04/04/2008
GA6202932244,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,08/19/2008,08/19/2008,
GAD991303991,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,01/16/2009,05/28/2009,03/27/2009
GAR000005413,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,06/08/2011,01/24/2012,
GAD981218779,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,04/30/2008,07/21/2008,06/10/2008
GAD980225775,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,04/24/2008,06/18/2008,06/16/2008
GAR000039776,GA,279.E,Standards for Used Oil: Transporter and Transfer Facilities,E  ,06/16/2011,08/25/2011,
GAD084914787,GA,PCR,Violation of a permit condition or requirement,S  ,03/21/2014,05/28/2014,05/17/2014
GAR000071571,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/19/2014,07/07/2014,05/19/2014
GAR000051219,GA,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,02/09/2011,12/22/2011,10/03/2011
GA0000012807,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,05/12/2011,07/08/2011,07/11/2011
GAR000051938,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,11/04/2008,02/19/2009,12/19/2008
GAR000061671,GA,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Facility Standards,E  ,08/11/2011,04/02/2012,04/02/2012
GA0000561001,GA,279.F,Standards for Used Oi:l Processors and Re-Refiners,S  ,06/02/2011,06/14/2011,07/20/2011
GAD981268139,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,08/03/2011,09/23/2011,09/16/2011
GAD981269343,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/24/2009,07/21/2009,05/04/2009
GAD070330576,GA,264.C,Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,09/28/2009,11/17/2009,
GAD065344301,GA,PCR,Violation of a permit condition or requirement,S  ,06/10/2008,08/20/2008,
GAR000048330,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/20/2011,03/09/2011,03/04/2011
GAD102031382,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,04/14/2010,05/27/2010,05/24/2010
GAR000078873,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/21/2016,12/21/2016,01/30/2017
GAD001700699,GA,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,03/13/2009,05/14/2009,04/05/2009
GAD984316836,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/05/2009,04/22/2009,04/23/2009
GAD981270416,GA,264.F,Standards for Owners and Operators of HW TSDs: Releases from Solid Waste Management Units,S  ,09/07/2010,03/17/2011,11/01/2010
GAD981265184,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,11/12/2009,06/15/2010,05/10/2010
GAD004065520,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,05/05/2015,08/10/2015,08/03/2015
GAR000043919,GA,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,08/21/2012,10/01/2012,09/28/2012
GA0000081281,GA,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Procedures,S  ,07/19/2012,08/20/2012,08/29/2012
GAD981230386,GA,262.A,Standards Applicable to Generators of HW: General,S  ,12/06/2011,01/17/2012,01/12/2012
GA1570024306,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,06/20/2013,09/25/2013,10/19/2013
GAR000025510,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,02/14/2013,05/10/2013,04/19/2013
GAD981262157,GA,262.A,Standards Applicable to Generators of HW: General,E  ,11/09/2015,01/13/2016,
GAD000827873,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,E  ,11/18/2015,11/18/2015,
GAR000033910,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,08/19/2015,10/30/2015,10/30/2015
GAD001792936,GA,262.A,Standards Applicable to Generators of HW: General,S  ,09/22/2015,01/29/2016,12/30/2015
GAD980604086,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,08/22/2013,10/01/2013,10/30/2013
GAR000078279,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,E  ,10/25/2017,04/30/2018,
GAD981261704,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,12/13/2011,05/10/2012,
GAD000222083,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/23/2018,05/23/2018,
GAD003302031,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,E  ,09/22/2011,12/19/2011,
GA0210020368,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,07/12/2012,07/12/2012,
GAD051011609,GA,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Facility Standards,E  ,11/27/2017,11/27/2017,
GAD131327546,GA,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,E  ,08/02/2017,07/15/2021,
GAD981237225,GA,264.F,Standards for Owners and Operators of HW TSDs: Releases from Solid Waste Management Units,S  ,08/25/2010,11/19/2010,
GAD096634910,GA,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,05/10/2013,07/15/2013,07/11/2013
GA0000263327,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,01/13/2010,03/02/2010,02/23/2010
GAD981219918,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/24/2011,11/16/2011,10/03/2011
GAD981236490,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,02/08/2011,04/13/2011,04/11/2011
GAR000058636,GA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,03/16/2011,06/16/2011,06/14/2011
GAD981238090,GA,279.C,Standards for Used Oil: Generators,E  ,03/07/2011,08/16/2012,
GAD981264427,GA,262.A,Standards Applicable to Generators of HW: General,S  ,04/07/2010,01/21/2011,
GAD051034387,GA,PCR,Violation of a permit condition or requirement,S  ,05/06/2010,07/13/2010,
GAR000033951,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,E  ,04/23/2013,06/23/2022,
GAD984303206,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,02/02/2011,03/17/2011,03/18/2011
GAD981224603,GA,262.A,Standards Applicable to Generators of HW: General,S  ,07/28/2010,08/19/2011,
GA1570024330,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,09/22/2009,09/22/2009,
GA9210020872,GA,262.A,Standards Applicable to Generators of HW: General,S  ,08/13/2018,08/13/2018,
GA7170023694,GA,273.C,Standards for Universal Waste Management: Standards for Large Quantity Handlers ,E  ,05/07/2018,12/27/2018,
GAR000048645,GA,262.A,Standards Applicable to Generators of HW: General,S  ,09/04/2020,09/14/2020,11/05/2020
GAD003298684,GA,262.M,"Standards Applicable to Generators of HW: Preparedness. Prevention, and Emergency Procedures for LQGs",S  ,08/31/2021,11/15/2021,11/15/2021
GAD003265030,GA,PCR,Violation of a permit condition or requirement,S  ,05/16/2019,07/22/2019,
GAD041007063,GA,PCR,Violation of a permit condition or requirement,S  ,11/20/2018,06/21/2019,
GAD003273224,GA,262.A,Standards Applicable to Generators of HW: General,S  ,06/26/2019,06/26/2019,
GAD991275983,GA,262.M,"Standards Applicable to Generators of HW: Preparedness. Prevention, and Emergency Procedures for LQGs",S  ,08/27/2019,01/13/2020,
GAD004065520,GA,262.A,Standards Applicable to Generators of HW: General,E  ,05/13/2014,10/27/2014,
GAR000048330,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,09/30/2014,02/18/2015,04/15/2015
GAR000074674,GA,262.A,Standards Applicable to Generators of HW: General,S  ,08/17/2023,06/04/2024,06/06/2024
GAD095797817,GA,262.M,"Standards Applicable to Generators of HW: Preparedness. Prevention, and Emergency Procedures for LQGs",S  ,08/16/2023,09/09/2024,
GAD000821934,GA,279.C,Standards for Used Oil: Generators,S  ,03/18/2024,09/24/2024,
GAD061022216,GA,262.A,Standards Applicable to Generators of HW: General,S  ,09/04/2024,12/06/2024,
GAR000056986,GA,262.A,Standards Applicable to Generators of HW: General,S  ,08/23/2024,10/03/2024,
GAD118273945,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,03/01/2024,08/26/2024,
GAR000096883,GA,262.A,Standards Applicable to Generators of HW: General,S  ,11/15/2024,12/09/2024,
GAR000096990,GA,262.A,Standards Applicable to Generators of HW: General,S  ,01/13/2025,,
GAR000076943,GA,262.M,"Standards Applicable to Generators of HW: Preparedness. Prevention, and Emergency Procedures for LQGs",S  ,03/15/2023,06/06/2023,07/05/2023
GAR000076398,GA,268.A,Land Disposal Restrictions: General,S  ,03/14/2023,,
GAR000095109,GA,262.A,Standards Applicable to Generators of HW: General,S  ,08/10/2022,01/05/2023,11/15/2022
GAD056217276,GA,262.A,Standards Applicable to Generators of HW: General,S  ,03/30/2022,04/18/2023,10/28/2022
GAR000092700,GA,262.A,Standards Applicable to Generators of HW: General,S  ,05/24/2023,05/26/2023,07/06/2023
