2020 Census Tract,Environmental Health Index,Transit Access Index,Percent of Population Above the Poverty Level,Median Income,Jobs Proximity Index,GEOID,pool,above_median_Environmental Health Index,above_median_Transit Access Index,above_median_Percent of Population Above the Poverty Level,above_median_Median Income,above_median_Jobs Proximity Index
13021012600,0.17669531996179566,0.6515300278186876,80.5,32151.0,0.6272516897018562,13021012600,other metro,0,1,0,0,1
13021012700,0.13371537726838592,0.6920716740304369,59.4,18319.0,0.6944811315267624,13021012700,other metro,0,1,0,0,1
13021012800,0.17860553963705822,0.6710440189821634,43.7,19873.0,0.654820438814792,13021012800,other metro,0,1,0,0,1
13021012900,0.18051575931232092,0.6186385207003764,59.9,23060.0,0.6092357077644278,13021012900,other metro,0,1,0,0,1
13021013101,0.2932187201528176,0.560669284896089,48.9,32635.0,0.587250751077883,13021013101,other metro,0,0,0,0,0
13021013102,0.3543457497612225,0.6053837342497136,74.2,35938.0,0.6048001951433012,13021013102,other metro,0,0,0,0,1
13021013201,0.34861509073543456,0.5653739158893798,60.0,29976.0,0.5992052990894593,13021013201,other metro,0,0,0,0,1
13021013202,0.33333333333333337,0.6547209949271804,52.6,20773.0,0.5929679919374605,13021013202,other metro,0,1,0,0,0
13021013302,0.3075453677172875,0.5802650957290132,83.4,41944.0,0.6925779456108141,13021013302,other metro,0,0,0,0,1
13021013407,0.3256924546322827,0.6302569137620684,86.0,52555.0,0.6206698902137984,13021013407,other metro,0,1,0,0,1
13021013408,0.4049665711556829,0.5985108820160365,94.6,100658.0,0.6772830739701472,13021013408,other metro,0,0,1,1,1
13021013409,0.47564469914040114,0.5435280641466208,89.7,57458.0,0.5426268335338492,13021013409,other metro,1,0,1,0,0
13021013411,0.3820439350525311,0.644411716576665,81.5,72750.0,0.5693442838901074,13021013411,other metro,0,1,0,1,0
13021013412,0.4106972301814709,0.5875470463099329,93.1,98558.0,0.6072033968587066,13021013412,other metro,0,0,1,1,1
13021013413,0.4259789875835721,0.5776468663066601,96.7,61960.0,0.5813987014215666,13021013413,other metro,0,0,1,1,0
13021013502,0.2693409742120344,0.5400916380297823,84.9,50080.0,0.6531001027662822,13021013502,other metro,0,0,0,0,1
13021013503,0.29608404966571156,0.6232204221894944,80.2,65500.0,0.6026234615545123,13021013503,other metro,0,1,0,1,1
13021013505,0.3123209169054441,0.56480117820324,92.3,48708.0,0.6300229295744809,13021013505,other metro,0,0,1,0,1
13021013506,0.3256924546322827,0.5717149402716413,87.0,91979.0,0.5965106607165356,13021013506,other metro,0,0,1,1,0
13021013603,0.3667621776504298,0.5620193094419899,74.6,70000.0,0.575814603700879,13021013603,other metro,0,0,0,1,0
13021013604,0.5940783190066858,0.48580428735067904,92.1,64375.0,0.602687394960776,13021013604,other metro,1,0,1,1,1
13021013605,0.5253104106972302,0.5667239404352806,93.6,79042.0,0.5556098862922507,13021013605,other metro,1,0,1,1,0
