amenity_key,google_type,place_id,name,lat,lon,types,vicinity,business_status
retail_store,clothing_store,ChIJv-vA5y5z9YgRPTQvjju_NEQ,Skylars On Main,34.0629541,-84.4240752,clothing_store|store|point_of_interest|establishment,"4651 Woodstock Road ste g20, Roswell",OPERATIONAL
retail_store,clothing_store,ChIJV5R8W-bj9IgRxMZiolZ9n-s,RiPPs Athletics,34.0629541,-84.4240752,clothing_store|store|point_of_interest|establishment,"4651 Woodstock Road, Roswell",OPERATIONAL
retail_store,clothing_store,ChIJcVopBGJt9YgRCoNEnM_eg-8,Indian Roots,34.0629541,-84.4240752,clothing_store|store|point_of_interest|establishment,"D-18, 4651 Woodstock Road, Roswell",OPERATIONAL
retail_store,clothing_store,ChIJXQqwVQl19YgRxCDU4m5sxsM,House of Trendz Boutique,34.0629541,-84.4240752,clothing_store|jewelry_store|store|point_of_interest|establishment,"4651 Woodstock Road, Roswell",OPERATIONAL
retail_store,clothing_store,ChIJjeym1ttz9YgRxhNjrPgumxY,Ladybugs & Grasshopper's Boutique,34.0629252,-84.4240367,clothing_store|store|point_of_interest|establishment,"4651 Woodstock Road Booth F6, Roswell",OPERATIONAL
retail_store,clothing_store,ChIJ33cWWvhz9YgR6rEeqHDCMbs,Faith Trust Pixiedust Boutique,34.0629252,-84.4240367,clothing_store|store|point_of_interest|establishment,"4651 Woodstock Road, Roswell",OPERATIONAL
retail_store,clothing_store,ChIJL5ag7rhz9YgRndpTOaKfRZM,Primped & Poised,34.0629252,-84.4240367,clothing_store|store|point_of_interest|establishment,"4651 Woodstock Road, Roswell",OPERATIONAL
retail_store,clothing_store,ChIJVXN_Wf5z9YgRmy-dWHa7Fe8,Babies and Blooms Boutique,34.0629252,-84.4240367,clothing_store|store|point_of_interest|establishment,"4651 Woodstock Road, Roswell",OPERATIONAL
retail_store,clothing_store,ChIJ3bMCa0QgrEcRgBp034_5fys,Hibiscuous Girl LLC,34.0629252,-84.4240367,clothing_store|store|point_of_interest|establishment,"Inside Painted Tree Boutique, 4651 Woodstock Road, Roswell",OPERATIONAL
retail_store,clothing_store,ChIJ8e4iyRxz9YgRunu2R2BQrUw,GF Fitness Wear (USA),34.0629252,-84.4240367,clothing_store|store|point_of_interest|establishment,"4651 Woodstock Road, Roswell",OPERATIONAL
retail_store,clothing_store,ChIJxY1Ezim59YgR9HvUyqVs2g8,Chic'Dazz Boutique,34.0629252,-84.4240367,clothing_store|store|point_of_interest|establishment,"4651 Woodstock Road, Roswell",OPERATIONAL
retail_store,clothing_store,ChIJv4ObH0MV9YgRYI71kCstRAE,Couture4uwomensboutique,34.0625255,-84.4235453,clothing_store|store|point_of_interest|establishment,"4651 Woodstock Road, Roswell",OPERATIONAL
retail_store,clothing_store,ChIJdz_56I1y9YgRdf9i5vxorkg,Trinity Fashions,34.06183449999999,-84.4224571,clothing_store|store|point_of_interest|establishment,"4651 Woodstock Road, Roswell",CLOSED_TEMPORARILY
retail_store,clothing_store,ChIJl9k2fMpz9YgRwRAxwbnkjUs,Peruvian Accent - Shop #C20 Inside The Painted Tree (Roswell),34.0614669,-84.4221976,clothing_store|store|point_of_interest|establishment,"4651 Woodstock Rd Booth #c20 inside The Painted Tree, Roswell",OPERATIONAL
retail_store,clothing_store,ChIJtTPkcs9r9YgR6lVIca0K1-g,Becca B - A Kids Party Boutique,34.0614669,-84.4221976,book_store|clothing_store|store|point_of_interest|establishment,"4651 Woodstock Road # 150, Roswell",OPERATIONAL
retail_store,clothing_store,ChIJE8xkv35t9YgRqkkD8nDOJV4,Walgreens,34.0887006,-84.4850961,drugstore|convenience_store|clothing_store|food|health|store|point_of_interest|establishment,"12075 Georgia 92, Woodstock",OPERATIONAL
retail_store,clothing_store,ChIJ__9L_RVy9YgRgud0tGg9DZA,Dri Embrace LLC,34.0988736,-84.4179026,clothing_store|store|point_of_interest|establishment,"125 Cromdale Court, Roswell",OPERATIONAL
retail_store,clothing_store,ChIJKfG1bOZt9YgRXrZML-ndrxI,AuraDpt,34.1088357,-84.4690693,clothing_store|store|point_of_interest|establishment,"498 Spring View Drive, Woodstock",OPERATIONAL
retail_store,clothing_store,ChIJG6HUfcdt9YgR-nDIiZHAHtY,Best At Exercising,34.057771,-84.4882325,clothing_store|store|point_of_interest|establishment,"4564 South Landing Drive, Marietta",OPERATIONAL
