System ID,System Name,School ID,School Name,Grade Cluster,2015,2016,2017,2018,2019,15 to 16,16 to 17,18 to 19,YoY Average,Average is positive?,Average score,CCRPI Score Data Availability (years),Applicable 25th Percentile,Average Score is in Top 75%?,CCRPI Scores Qualify Under Option C?,2019 BTO Designation
608,Bartow County,114,Cass High School,H,73.7,71.5,71.7,75.5,70.2,-0.029850746,0.002797203,-0.070198675,-0.032417406,No,72.52,2015-2019,67.97,Yes,No,Below Expected Range
608,Bartow County,115,Cloverleaf Elementary,E,70.5,67.3,65.8,75.4,80.2,-0.045390071,-0.022288262,0.063660477,-0.001339285,No,71.84,2015-2019,66.04,Yes,No,Within Expected Range
608,Bartow County,175,White Elementary School,E,79.3,80.3,78.3,88.9,81.5,0.01261034,-0.0249066,-0.083239595,-0.031845285,No,81.66,2015-2019,66.04,Yes,No,Beating the Odds
608,Bartow County,177,Adairsville Elementary School,E,60.6,71.1,77.1,74.2,70.3,0.173267327,0.084388186,-0.052560647,0.068364955,Yes,70.66,2015-2019,66.04,Yes,Yes,Below Expected Range
608,Bartow County,186,Mission Road Elementary School,E,67.1,74.7,70.1,82.3,73.5,0.113263785,-0.061579652,-0.106925881,-0.018413916,No,73.54,2015-2019,66.04,Yes,No,Below Expected Range
608,Bartow County,190,South Central Middle School,M,66,64,62.2,64.7,52.5,-0.03030303,-0.028125,-0.188562597,-0.082330209,No,61.88,2015-2019,65.54,No,No,Below Expected Range
608,Bartow County,195,Cass Middle School,M,69.2,69.5,76.8,66.6,74.8,0.00433526,0.105035971,0.123123123,0.077498118,Yes,71.38,2015-2019,65.54,Yes,Yes,Within Expected Range
608,Bartow County,196,Allatoona Elementary School,E,61.3,72.5,64.7,76.3,63.5,0.182707993,-0.107586207,-0.167758847,-0.03087902,No,67.66,2015-2019,66.04,Yes,No,Below Expected Range
608,Bartow County,198,Woodland High School,H,68.5,78.8,76.1,75.2,72,0.150364964,-0.034263959,-0.042553191,0.024515938,Yes,74.12,2015-2019,67.97,Yes,Yes,Below Expected Range
608,Bartow County,296,Kingston Elementary School,E,69.8,80.6,67.2,73.2,65.7,0.154727794,-0.166253102,-0.102459016,-0.037994775,No,71.3,2015-2019,66.04,Yes,No,Below Expected Range
