,2020 Census Tract,Percent of Population Above the Poverty Level
615,13067030365,95.4
616,13067030366,99.3
617,13067030367,99.3
618,13067030368,97.9
619,13067030369,99.6
620,13067030370,100
621,13067030405,85.6
622,13067030407,90
623,13067030408,98.2
624,13067030409,98.2
625,13067030410,90.9
626,13067030411,83.7
627,13067030412,69.6
628,13067030413,74.2
629,13067030414,69.7
630,13067030505,82.5
631,13067030506,79.5
632,13067030507,91.2
633,13067030508,87.7
634,13067030509,97.4
635,13067030510,93.3
636,13067030511,90.6
637,13067030602,96.5
638,13067030603,92.3
639,13067030604,82.7
640,13067030700,75.7
641,13067030800,86.7
642,13067030906,86.3
643,13067030907,97.2
644,13067030908,88.3
645,13067030909,90.1
646,13067030910,81.2
647,13067030911,77.5
648,13067030912,85.6
649,13067031001,80.5
650,13067031004,87.4
651,13067031005,89.1
652,13067031006,93.2
653,13067031007,85.2
654,13067031101,76.8
655,13067031110,91.9
656,13067031111,95.6
657,13067031112,95.9
658,13067031113,78.7
659,13067031114,87.2
660,13067031115,91.1
661,13067031116,91.8
662,13067031117,96.8
663,13067031118,96.2
664,13067031119,92.7
665,13067031120,92.8
666,13067031121,90
667,13067031122,94.9
668,13067031207,98.6
669,13067031209,97
670,13067031212,99.7
671,13067031213,88
672,13067031214,96.4
673,13067031215,98.6
674,13067031216,96.4
675,13067031217,92.3
676,13067031218,95.9
677,13067031219,95.3
678,13067031220,88.1
679,13067031221,83.9
680,13067031306,92.6
681,13067031308,89.5
682,13067031314,98
683,13067031315,98.1
684,13067031316,89.2
685,13067031317,94.1
686,13067031318,59
687,13067031319,75.1
688,13067031320,87.4
689,13067031321,86.7
690,13067031322,92.4
691,13067031323,98
692,13067031324,85
693,13067031325,96.6
694,13067031409,93.3
695,13067031410,90.3
696,13067031411,84.3
697,13067031412,82.8
698,13067031413,87.2
699,13067031414,93.4
700,13067031415,73.3
701,13067031416,93
702,13067031417,98.3
703,13067031506,85.8
704,13067031507,94.7
705,13067031510,92.5
706,13067031511,92.2
707,13067031512,83.1
708,13067031513,95.4
709,13067031514,98.3
710,13067031515,97.9
711,13067031516,93
712,13067031517,95.4
713,13067031518,81.6
714,13069010100,80.1
715,13069010200,90.7
716,13069010301,84.1
717,13069010302,60.1
718,13069010401,92.7
719,13069010402,76.2
720,13069010500,75.8
721,13069010600,84.9
722,13069010701,74.4
723,13069010702,44.3
724,13069010801,72.6
725,13069010802,74.1
726,13071970101,72.6
727,13071970102,78.7
728,13071970200,80.9
729,13071970301,40.6
730,13071970302,81.2
731,13071970400,74.5
732,13071970500,84.4
733,13071970601,86.5
734,13071970602,65.1
735,13071970702,55.8
736,13071970703,85.6
737,13071970704,83.2
738,13071970800,92.7
739,13071970901,77.4
740,13071970902,71.6
741,13073030103,96.8
742,13073030105,87.6
743,13073030106,95.2
744,13073030107,99.1
745,13073030108,94.2
746,13073030201,94.5
747,13073030202,83
748,13073030203,94.1
749,13073030304,97.9
750,13073030306,90.4
751,13073030307,91.5
752,13073030308,98
753,13073030310,97.9
754,13073030311,96.1
755,13073030312,98.2
756,13073030313,91.2
757,13073030401,96
758,13073030403,92.1
759,13073030404,92
760,13073030503,89.6
761,13073030504,97.6
762,13073030505,87.5
763,13073030507,91
764,13073030508,84.2
765,13073030603,94.2
766,13075960100,81.6
767,13075960200,82.6
768,13075960301,66.2
769,13075960302,82.4
770,13075960400,83.5
771,13077170101,95.8
772,13077170102,90.6
773,13077170200,84
774,13077170303,95.8
775,13077170304,93.3
776,13077170307,84.2
777,13077170308,88.7
778,13077170309,89
779,13077170310,83.3
780,13077170403,92.2
781,13077170404,98.2
782,13077170405,96.5
783,13077170406,93
784,13077170407,63.9
785,13077170408,97.5
786,13077170501,96.2
787,13077170502,93.7
788,13077170503,93.6
789,13077170603,95
790,13077170604,82.9
791,13077170605,69
792,13077170606,95.7
793,13077170607,93.5
794,13077170701,92.1
795,13077170702,92.9
796,13077170801,88
797,13077170802,95.3
798,13079070100,79.5
799,13079070201,89.6
800,13079070202,87.8
801,13081010100,76.2
802,13081010201,68.4
803,13081010202,68.1
804,13081010300,81.6
805,13081010400,69.8
806,13081010500,92.7
807,13083040102,80.4
808,13083040103,94.8
809,13083040104,82.2
810,13083040200,93
811,13083040300,98.4
812,13085970101,89.9
813,13085970102,88.2
814,13085970103,97.9
815,13085970203,97.7
816,13085970204,86
817,13085970205,82.1
818,13085970206,90.1
819,13087970100,83.1
820,13087970200,85.1
821,13087970301,76.8
822,13087970302,71.2
823,13087970400,72.2
824,13087970600,86.6
825,13087970700,81.1
826,13087970800,72.8
827,13089020100,96.5
828,13089020200,91.2
829,13089020300,93.1
830,13089020400,97.7
831,13089020500,89.9
832,13089020600,78
833,13089020700,87.2
834,13089020801,95.9
835,13089020802,89.4
836,13089020901,89.4
837,13089020902,78.4
838,13089021101,94.8
839,13089021103,97.7
840,13089021104,83.7
841,13089021204,62.9
842,13089021208,94
843,13089021210,98.2
844,13089021211,97.7
845,13089021213,99.5
846,13089021217,94.1
847,13089021219,100
848,13089021220,96.5
849,13089021221,95.4
850,13089021222,76.3
851,13089021223,98.2
852,13089021224,83.6
853,13089021225,87.6
854,13089021226,97.1
855,13089021227,99.4
856,13089021228,98.8
857,13089021229,100
858,13089021230,99.6
859,13089021301,74.7
860,13089021305,72.8
861,13089021306,80.4
862,13089021307,77.8
863,13089021308,76.2
864,13089021309,74.3
865,13089021310,78.3
866,13089021405,95.8
867,13089021409,85
868,13089021410,90.7
869,13089021411,94.3
870,13089021412,97.6
871,13089021415,93.7
872,13089021416,97.1
873,13089021417,72.4
874,13089021418,65.2
875,13089021419,91.4
876,13089021420,70.1
877,13089021421,71.3
878,13089021502,90
879,13089021503,84.4
880,13089021505,77
881,13089021506,82.4
882,13089021602,96
883,13089021604,98.5
884,13089021606,90.2
885,13089021607,88.1
886,13089021608,87.4
887,13089021609,99
888,13089021703,96.1
889,13089021707,96.1
890,13089021708,91.4
891,13089021709,95.2
892,13089021710,99.2
893,13089021711,77.4
894,13089021712,86.8
895,13089021808,90.9
896,13089021812,85.5
897,13089021813,82.1
898,13089021815,78.3
899,13089021816,92.6
900,13089021817,96.2
901,13089021818,97.4
902,13089021819,92.9
903,13089021820,94.8
904,13089021821,98.2
905,13089021822,91.7
906,13089021823,96.1
907,13089021824,81.2
908,13089021906,87.3
909,13089021908,90.9
910,13089021910,81.8
911,13089021911,58.6
912,13089021912,90.5
913,13089021913,70.8
914,13089021914,94.3
915,13089021915,96.5
916,13089021916,85.7
917,13089021917,62
918,13089022001,93.5
919,13089022005,82.7
920,13089022007,66.4
921,13089022010,88.6
922,13089022011,79.2
923,13089022012,67.6
924,13089022013,80.1
925,13089022014,53.9
926,13089022015,99.4
927,13089022016,88.7
928,13089022100,77.3
929,13089022203,86.3
930,13089022205,96.3
931,13089022206,96.9
932,13089022302,87
933,13089022303,94.8
934,13089022304,83.3
935,13089022401,92.3
936,13089022403,97.8
937,13089022404,57.6
938,13089022405,80
939,13089022501,75.8
940,13089022502,98.2
941,13089022601,95.7
942,13089022602,99.5
943,13089022700,94.4
944,13089022800,97.7
945,13089022900,94.4
946,13089023000,96.3
947,13089023101,92.1
948,13089023102,85.1
949,13089023107,79
950,13089023108,76.2
951,13089023111,78.5
952,13089023112,77
953,13089023113,74.9
954,13089023114,77
955,13089023115,62.5
956,13089023209,90.1
957,13089023211,90.6
958,13089023212,87.2
959,13089023213,74.1
960,13089023214,90
961,13089023215,74.2
962,13089023216,94.1
963,13089023217,75.8
964,13089023218,68
965,13089023219,84.1
966,13089023220,79
967,13089023221,90.2
968,13089023222,74.6
969,13089023311,83.5
970,13089023313,91.3
971,13089023315,93.7
972,13089023317,51
973,13089023318,97
974,13089023319,91.8
975,13089023320,77.3
976,13089023321,79.7
977,13089023322,98.2
978,13089023323,91.5
979,13089023324,96.8
980,13089023325,95.4
981,13089023326,93
982,13089023327,82.8
983,13089023328,87.6
984,13089023329,82.8
985,13089023330,59.9
986,13089023331,87
987,13089023332,88.6
988,13089023410,72.5
989,13089023411,90.6
990,13089023413,95.1
991,13089023422,80.9
992,13089023424,83.7
993,13089023425,87.8
994,13089023426,92.2
995,13089023427,79.2
996,13089023429,72.1
997,13089023430,66.4
998,13089023431,70.8
999,13089023432,99.9
1000,13089023433,92.2
1001,13089023434,97.3
1002,13089023435,87.3
1003,13089023436,91.2
1004,13089023437,90.2
1005,13089023438,84.6
1006,13089023439,78.4
1007,13089023440,92.3
1008,13089023441,91.9
1009,13089023442,90.2
1010,13089023443,94.8
1011,13089023444,68.2
1012,13089023445,93.7
1013,13089023446,66.2
1014,13089023447,95.3
1015,13089023448,91
1016,13089023501,85.7
1017,13089023504,80.7
1018,13089023505,81
1019,13089023506,75.9
1020,13089023507,83.7
1021,13089023601,84.2
1022,13089023602,80.9
1023,13089023603,79.3
1024,13089023701,90.5
1025,13089023702,75.8
1026,13089023801,87.8
1027,13089023802,88
1028,13089023803,77.8
1029,13089980000,-
1030,13091960100,83
1031,13091960200,74.7
1032,13091960301,77.4
1033,13091960302,80.4
1034,13091960400,70.5
1035,13091960500,91.3
1036,13091960600,87.7
1037,13093970100,84.6
1038,13093970200,84.6
1039,13093970300,70.8
1040,13095000101,45.7
1041,13095000102,75
1042,13095000200,49.6
1043,13095000400,83.1
1044,13095000501,95.1
1045,13095000502,90.1
1046,13095000600,72.7
1047,13095000700,86.4
1048,13095000800,47.4
1049,13095000900,78.8
1050,13095001000,71
1051,13095001100,55.1
1052,13095001403,50
1053,13095001500,51.4
1054,13095010302,64.3
1055,13095010401,92.5
1056,13095010402,80
1057,13095010403,93.4
1058,13095010500,85
1059,13095010601,61.5
1060,13095010602,85
1061,13095010701,55.2
1062,13095010702,59.8
1063,13095010900,68.4
1064,13095011000,81.9
1065,13095011200,56.4
1066,13095011300,74.1
1067,13095011400,55.4
1068,13095011600,90.3
1069,13097080104,76.8
1070,13097080105,93
1071,13097080106,80.9
1072,13097080107,83.9
1073,13097080201,91.6
1074,13097080203,87.2
1075,13097080204,94.9
1076,13097080303,71.4
1077,13097080304,89.8
1078,13097080305,83
1079,13097080306,87.9
1080,13097080307,91.5
1081,13097080403,91.9
1082,13097080405,94.1
1083,13097080406,90.5
1084,13097080407,93
1085,13097080408,83.3
1086,13097080505,82.1
1087,13097080506,87.3
1088,13097080507,90.1
1089,13097080508,74.9
1090,13097080509,93.8
1091,13097080512,84.5
1092,13097080513,88.2
1093,13097080514,95.4
1094,13097080515,83
1095,13097080602,89.6
1096,13097080605,89.9
1097,13097080606,90.6
1098,13097080607,90.4
1099,13097080608,98.6
1100,13099090100,76.3
1101,13099090200,73.9
1102,13099090300,85.7
1103,13099090400,74
1104,13099090500,70.7
1105,13101880100,81.3
1106,13101880200,70.6
1107,13103030100,92.2
1108,13103030204,88.1
1109,13103030205,93.3
1110,13103030206,99.7
1111,13103030207,88.4
1112,13103030208,96.9
1113,13103030209,94.8
1114,13103030301,95.9
1115,13103030303,94
1116,13103030306,79.3
1117,13103030307,90.7
1118,13103030308,93.4
1119,13103030309,92.2
1120,13103030401,95.7
1121,13103030403,87.8
1122,13103030404,91.7
1123,13105000100,82.6
1124,13105000200,87.8
1125,13105000300,79
1126,13105000400,64.7
1127,13105000501,79.8
1128,13105000502,71.2
1129,13107970101,81.6
1130,13107970102,71
1131,13107970200,81.6
1132,13107970300,70.9
1133,13107970401,70.2
1134,13107970402,73.8
1135,13107970500,78.1
1136,13107970601,58.9
1137,13107970602,91.9
1138,13109970100,85.2
1139,13109970200,73.5
1140,13109970300,72.3
1141,13111050100,85.5
1142,13111050200,87.3
1143,13111050300,96.8
1144,13111050400,89.2
1145,13111050500,86.6
1146,13113140102,92.2
1147,13113140103,98.2
1148,13113140104,96.8
1149,13113140203,97.1
1150,13113140204,96.9
1151,13113140206,97.9
1152,13113140207,85.5
1153,13113140209,96.8
1154,13113140210,96.5
1155,13113140303,93.1
1156,13113140304,89.1
1157,13113140305,99.1
1158,13113140307,96
1159,13113140308,98.6
1160,13113140309,94.5
1161,13113140403,98.6
1162,13113140404,94.9
1163,13113140405,95.6
1164,13113140406,92.4
1165,13113140408,98.3
1166,13113140409,89.2
1167,13113140410,83.5
1168,13113140501,97.5
1169,13113140502,94.8
1170,13115000100,78.7
1171,13115000202,91.7
1172,13115000203,96
1173,13115000204,88.2
1174,13115000300,95.2
1175,13115000401,71.4
1176,13115000402,93.2
1177,13115000403,92.3
1178,13115000500,69.6
1179,13115000600,60.2
1180,13115000700,96.1
1181,13115000800,88.9
1182,13115000900,79.4
1183,13115001100,64.4
1184,13115001200,84.3
1185,13115001301,63.1
1186,13115001302,72.8
1187,13115001400,87.5
1188,13115001600,61.4
1189,13115001703,90.4
1190,13115001704,79
1191,13115001705,85.2
1192,13115001706,79.1
1193,13115001800,74.7
1194,13115002000,87.7
1195,13115002100,71.3
1196,13117130101,97.9
1197,13117130102,96
1198,13117130103,90.5
1199,13117130104,89.5
1200,13117130105,85.4
1201,13117130201,93.3
1202,13117130202,98.8
1203,13117130203,91.7
1204,13117130204,93.9
1205,13117130205,93.5
1206,13117130301,95.4
1207,13117130302,97.3
1208,13117130303,98.1
1209,13117130304,99.5
1210,13117130305,98.4
1211,13117130306,89
1212,13117130307,95.8
1213,13117130406,92.7
1214,13117130409,82
1215,13117130410,94.1
1216,13117130411,91.8
1217,13117130412,85.7
1218,13117130413,81.6
1219,13117130414,98.7
1220,13117130415,85
1221,13117130503,91.2
1222,13117130504,97.3
1223,13117130505,98.4
1224,13117130506,95.4
1225,13117130507,97.9
1226,13117130508,97.6
1227,13117130509,96.2
1228,13117130511,96.7
1229,13117130512,98.7
1230,13117130601,94.2
1231,13117130602,84.8
1232,13117130603,98.9
1233,13117130604,97.4
1234,13117130605,92.9
1235,13117130606,98.2
1236,13117130607,98
1237,13117130608,98
1238,13117130609,97.1
1239,13117130610,93.5
1240,13117130611,94.4
1241,13117130613,98.3
1242,13117130614,95.5
1243,13117130615,96.5
1244,13119890101,74.1
1245,13119890103,83.8
1246,13119890104,88.3
1247,13119890201,87.3
1248,13119890202,91.3
1249,13119890300,86.3
1250,13119890401,70.1
1251,13119890402,71
1252,13121000100,92.3
1253,13121000201,98.4
1254,13121000202,93.6
1255,13121000400,96
1256,13121000501,87.4
1257,13121000502,92.8
1258,13121000601,66.2
1259,13121000602,58.1
1260,13121000700,85.2
1261,13121001001,78.6
1262,13121001002,64.9
1263,13121001101,91.3
1264,13121001102,93.4
1265,13121001203,94
