,2020 Census Tract,Median Income
763,13073030507,69071
764,13073030508,65640
765,13073030603,61775
766,13075960100,40391
767,13075960200,38544
768,13075960301,49228
769,13075960302,51154
770,13075960400,46481
771,13077170101,79306
772,13077170102,73206
773,13077170200,65966
774,13077170303,126841
775,13077170304,82406
776,13077170307,44421
777,13077170308,48821
778,13077170309,82398
779,13077170310,81133
780,13077170403,104310
781,13077170404,101023
782,13077170405,92719
783,13077170406,115907
784,13077170407,-
785,13077170408,121198
786,13077170501,77813
787,13077170502,84452
788,13077170503,98504
789,13077170603,106373
790,13077170604,50152
791,13077170605,32859
792,13077170606,111603
793,13077170607,108026
794,13077170701,67328
795,13077170702,68466
796,13077170801,74667
797,13077170802,78485
798,13079070100,39484
799,13079070201,57241
800,13079070202,57500
801,13081010100,29375
802,13081010201,39091
803,13081010202,41708
804,13081010300,59934
805,13081010400,41177
806,13081010500,46500
807,13083040102,40179
808,13083040103,42742
809,13083040104,39417
810,13083040200,62083
811,13083040300,72585
812,13085970101,74333
813,13085970102,70066
814,13085970103,68681
815,13085970203,129934
816,13085970204,66136
817,13085970205,76344
818,13085970206,75694
819,13087970100,45938
820,13087970200,62384
821,13087970301,36006
822,13087970302,40313
823,13087970400,42679
824,13087970600,54133
825,13087970700,36979
826,13087970800,46019
827,13089020100,176685
828,13089020200,90096
829,13089020300,159931
830,13089020400,168828
831,13089020500,85688
832,13089020600,81455
833,13089020700,76023
834,13089020801,146250
835,13089020802,95550
836,13089020901,109190
837,13089020902,56533
838,13089021101,234926
839,13089021103,125417
840,13089021104,103826
841,13089021204,31607
842,13089021208,75587
843,13089021210,189856
844,13089021211,119286
845,13089021213,189091
846,13089021217,108750
847,13089021219,148493
848,13089021220,105469
849,13089021221,105600
850,13089021222,80871
851,13089021223,96510
852,13089021224,54457
853,13089021225,63712
854,13089021226,78193
855,13089021227,93955
856,13089021228,231429
857,13089021229,144863
858,13089021230,102105
859,13089021301,57539
860,13089021305,53065
861,13089021306,56819
862,13089021307,67692
863,13089021308,67292
864,13089021309,32569
865,13089021310,33678
866,13089021405,137768
867,13089021409,79198
868,13089021410,78100
869,13089021411,120694
870,13089021412,141641
871,13089021415,110720
872,13089021416,110066
873,13089021417,66193
874,13089021418,46094
875,13089021419,66694
876,13089021420,49914
877,13089021421,64722
878,13089021502,85337
879,13089021503,60175
880,13089021505,86250
881,13089021506,91940
882,13089021602,100625
883,13089021604,181705
884,13089021606,77782
885,13089021607,78828
886,13089021608,60448
887,13089021609,133833
888,13089021703,159750
889,13089021707,127542
890,13089021708,77708
891,13089021709,65805
892,13089021710,150069
893,13089021711,65147
894,13089021712,41504
895,13089021808,109560
896,13089021812,64012
897,13089021813,45353
898,13089021815,40787
899,13089021816,99044
900,13089021817,100714
901,13089021818,76703
902,13089021819,116118
903,13089021820,59561
904,13089021821,138407
905,13089021822,86511
906,13089021823,89714
907,13089021824,40402
908,13089021906,45845
909,13089021908,48120
910,13089021910,41303
911,13089021911,32107
912,13089021912,151750
913,13089021913,33297
914,13089021914,40385
915,13089021915,102961
916,13089021916,50381
917,13089021917,39874
918,13089022001,79583
919,13089022005,46526
920,13089022007,45357
921,13089022010,69643
922,13089022011,38061
923,13089022012,30061
924,13089022013,55595
925,13089022014,37500
926,13089022015,68152
927,13089022016,61470
928,13089022100,52407
929,13089022203,81472
930,13089022205,68084
931,13089022206,81940
932,13089022302,100208
933,13089022303,91552
934,13089022304,62000
935,13089022401,112969
936,13089022403,227500
937,13089022404,37297
938,13089022405,63347
939,13089022501,99044
940,13089022502,232796
941,13089022601,85398
942,13089022602,181379
943,13089022700,149338
944,13089022800,146731
945,13089022900,89792
946,13089023000,96859
947,13089023101,63526
948,13089023102,44574
949,13089023107,55660
950,13089023108,36481
951,13089023111,48092
952,13089023112,33523
953,13089023113,34664
954,13089023114,44741
955,13089023115,-
956,13089023209,68460
957,13089023211,62266
958,13089023212,61162
959,13089023213,52898
960,13089023214,56622
961,13089023215,45207
962,13089023216,59697
963,13089023217,53112
964,13089023218,36159
965,13089023219,62338
966,13089023220,60508
967,13089023221,60164
968,13089023222,38504
969,13089023311,72519
970,13089023313,56518
971,13089023315,73406
972,13089023317,20443
973,13089023318,84234
974,13089023319,65254
975,13089023320,31492
976,13089023321,63050
977,13089023322,51974
978,13089023323,70160
979,13089023324,95680
980,13089023325,88603
981,13089023326,76184
982,13089023327,53519
983,13089023328,71161
984,13089023329,62901
985,13089023330,69023
986,13089023331,55526
987,13089023332,71593
988,13089023410,39150
989,13089023411,48625
990,13089023413,66118
991,13089023422,61739
992,13089023424,80884
993,13089023425,65836
994,13089023426,64303
995,13089023427,73285
996,13089023429,36397
997,13089023430,28011
998,13089023431,50337
999,13089023432,83427
1000,13089023433,54248
1001,13089023434,70150
1002,13089023435,68697
1003,13089023436,69562
1004,13089023437,80228
1005,13089023438,56814
1006,13089023439,33509
1007,13089023440,59858
1008,13089023441,70000
1009,13089023442,69963
1010,13089023443,95681
1011,13089023444,74179
1012,13089023445,56409
1013,13089023446,31786
1014,13089023447,55750
1015,13089023448,57685
1016,13089023501,36712
1017,13089023504,44539
1018,13089023505,39660
1019,13089023506,54203
1020,13089023507,44768
1021,13089023601,82094
1022,13089023602,49583
1023,13089023603,41536
1024,13089023701,45472
1025,13089023702,43691
1026,13089023801,83576
1027,13089023802,66980
1028,13089023803,56892
1029,13089980000,-
1030,13091960100,46065
1031,13091960200,34508
1032,13091960301,36721
1033,13091960302,50173
1034,13091960400,41139
1035,13091960500,59444
1036,13091960600,34313
1037,13093970100,58224
1038,13093970200,38990
1039,13093970300,37576
1040,13095000101,-
1041,13095000102,38450
1042,13095000200,12759
1043,13095000400,49035
1044,13095000501,57114
1045,13095000502,62423
1046,13095000600,41667
1047,13095000700,50625
1048,13095000800,17381
1049,13095000900,41447
