2020 Census Tract,geoid_,County Name,% of rental units occupied by 80% AMI and below with Severe Housing Problems,Average: YoY Growth 2018-2021,Is 2021 greater than 2011?,Average change: 2020-2022
13051002200,,,34.05797101449276,,,
13051002300,,,45.294117647058826,,,
13051002600,,,59.57446808510638,,,
13051002700,,,74.32432432432432,,,
13051002800,,,42.857142857142854,,,
13051002900,,,18.51851851851852,,,
13051003000,,,43.75,,,
13051003301,,,28.846153846153843,,,
13051003302,,,11.904761904761903,,,
13051003400,,,33.33333333333333,,,
13051003501,,,18.64406779661017,,,
13051003502,,,40.67796610169492,,,
13051003601,,,47.286821705426355,,,
13051003602,,,36.57142857142857,,,
13051003700,,,22.413793103448278,,,
13051003800,,,18.421052631578945,,,
13051003900,,,20.37735849056604,,,
13051004001,,,52.13675213675214,,,
13051004002,,,23.655913978494624,,,
13051004100,,,66.66666666666666,,,
13051004207,,,54.71698113207547,,,
13051004208,,,45.12195122,,,
13051004209,,,39.726027397260275,,,
13051004210,,,30.952380952380953,,,
13051004211,,,54,,,
13051004212,,,25,,,
13051004300,,,36.25,,,
13051004400,,,47.19101123595505,,,
13051004500,,,40.298507462686565,,,
13051010102,,,44.44444444444444,,,
13051010200,,,53.03030303030303,,,
13051010502,,,26.21951219512195,,,
13051010503,,,40.476190476190474,,,
13051010504,,,44.166666666666664,,,
13051010601,,,15.686274509803921,,,
13051010603,,,40,,,
13051010701,,,----------------------------------------------------------------------------------------------------,,,
13051010702,,,21.73913043478261,,,
13051010703,,,71.83098591549296,,,
13051010704,,,91.07142857142857,,,
13051010705,,,----------------------------------------------------------------------------------------------------,,,
13051010706,,,100,,,
13051010707,,,----------------------------------------------------------------------------------------------------,,,
13051010801,,,34.24657534246575,,,
13051010806,,,19.148936170212767,,,
13051010807,,,86.02150537634408,,,
13051010810,,,62.5,,,
13051010811,,,40,,,
13051010812,,,----------------------------------------------------------------------------------------------------,,,
13051010813,,,62.5,,,
13051010814,,,40.816326530612244,,,
13051010815,,,20.833333333333336,,,
13051010816,,,56.52173913043478,,,
13051010817,,,100,,,
13051010818,,,45.09803921568628,,,
13051010819,,,47.22222222222222,,,
13051010820,,,38.18181818181819,,,
13051010821,,,0,,,
13051010901,,,44.74226804123712,,,
13051011004,,,22.22222222222222,,,
13051011005,,,100,,,
13051011006,,,46.42857142857143,,,
13051011007,,,0,,,
13051011008,,,62.96296296296296,,,
13051011104,,,13.725490196078432,,,
13051011107,,,25,,,
13051011108,,,100,,,
13051011110,,,0,,,
13051011111,,,57.98319327731093,,,
13051011112,,,56.25,,,
13051011113,,,0,,,
13051011114,,,40.74074074074074,,,
13051011115,,,22,,,
13051011200,,,48.10810810810811,,,
13051011300,,,53.48837209302325,,,
13051011400,,,29.88505747126437,,,
13051011500,,,0,,,
13051011600,,,20,,,
13051011700,,,36.7816092,,,
13051011800,,,23.333333333333332,,,
13051011900,,,36.11111111111111,,,
13051980000,,,----------------------------------------------------------------------------------------------------,,,
13051990000,,,----------------------------------------------------------------------------------------------------,,,
13053020100,,,29.48717948717949,,,
13053020201,,,0,,,
13053020203,,,44.11764705882353,,,
13053020205,,,33.33333333333333,,,
13053020206,,,----------------------------------------------------------------------------------------------------,,,
13055010100,,,19.047619047619047,,,
13055010201,,,8.571428571428571,,,
13055010202,,,37.5,,,
13055010300,,,29.268292682926827,,,
13055010401,,,0,,,
13055010402,,,35.60606060606061,,,
13055010501,,,18.181818181818183,,,
13055010502,,,11.458333333333332,,,
13055010600,,,5.333333333333334,,,
13057090101,,,8.695652173913043,,,
13057090102,,,40,,,
13057090103,,,7.6923076923076925,,,
13057090201,,,51.35135135135135,,,
13057090202,,,52.10526315789473,,,
13057090301,,,57.692307692307686,,,
13057090302,,,0,,,
13057090303,,,0,,,
13057090401,,,32.24637681,,,
13057090402,,,8.163265306,,,
13057090503,,,----------------------------------------------------------------------------------------------------,,,
13057090504,,,----------------------------------------------------------------------------------------------------,,,
13057090505,,,----------------------------------------------------------------------------------------------------,,,
13057090506,,,45.45454545454545,,,
13057090507,,,----------------------------------------------------------------------------------------------------,,,
13057090603,,,37.142857142857146,,,
13057090604,,,43.66197183098591,,,
13057090605,,,43.51851851851852,,,
13057090606,,,25.757575757575758,,,
13057090703,,,8.928571428571429,,,
13057090704,,,73.23943661971832,,,
13057090705,,,73.58490566037736,,,
13057090706,,,----------------------------------------------------------------------------------------------------,,,
13057090707,,,0,,,
13057090708,,,37.11340206185567,,,
13057090709,,,75,,,
13057090710,,,----------------------------------------------------------------------------------------------------,,,
13057090805,,,27.77777777777778,,,
13057090806,,,0,,,
13057090807,,,83.33333333333334,,,
13057090808,,,42.857142857142854,,,
13057090809,,,0,,,
13057090810,,,21.428571428571427,,,
13057090905,,,27.77777777777778,,,
13057090906,,,6.153846153846154,,,
13057090907,,,8.823529411764707,,,
13057090908,,,100,,,
13057090909,,,27.33812949640288,,,
13057090910,,,60.97560975609756,,,
13057090911,,,0,,,
13057090912,,,33.33333333333333,,,
13057091001,,,42.95774647887324,,,
13057091006,,,80,,,
13057091007,,,0,,,
13057091009,,,49.152542372881356,,,
13057091010,,,0,,,
13057091011,,,69.10569105691057,,,
13057091012,,,81.13207547169812,,,
13057091013,,,32.857142857142854,,,
13057091014,,,55.03875968992248,,,
13057091101,,,54.054054054054056,,,
13057091104,,,15,,,
13057091105,,,48.78048780487805,,,
13057091106,,,34.48275862068966,,,
13057091107,,,18.75,,,
13057091108,,,60,,,
13059000100,,,67.45562130177515,,,
13059000401,,,51.92307692307693,,,
13059000402,,,65.24590163934427,,,
13059000600,,,33.55263157894737,,,
13059000900,,,44.827586206896555,,,
13059001200,,,50.67567567567568,,,
13059001700,,,15.294117647058824,,,
13059001800,,,35.82089552238806,,,
13059001900,,,40.54054054054054,,,
13059002000,,,36.61971830985916,,,
13059002100,,,52.980132450331126,,,
13059002200,,,64.70588235294117,,,
13059030101,,,63.934426229508205,,,
13059030102,,,52.44755244755245,,,
13059030200,,,40.42553191489361,,,
13059130300,,,46.808510638297875,,,
13059130400,,,28.440366972477065,,,
13059130500,,,58.139534883720934,,,
13059130601,,,1.9736842105263157,,,
13059130602,,,33.01886792,,,
13059130701,,,45.94594594594595,,,
13059130702,,,54.54545454545454,,,
13059140300,,,36.25,,,
13059140400,,,34.146341463414636,,,
13059140500,,,59.12408759124088,,,
13059140600,,,26.153846153846157,,,
13059150300,,,50.847457627118644,,,
13059150400,,,52.51141552511416,,,
13059150500,,,46.37096774193548,,,
13059150600,,,34.112149532710276,,,
13059150701,,,50.47169811320755,,,
13059150702,,,13.793103448275861,,,
13059150800,,,32.78688524590164,,,
13059150900,,,59.09090909090909,,,
13061960300,,,13.46938775510204,,,
13063040202,,,35.876288659793815,,,
13063040203,,,19.736842105263158,,,
13063040204,,,30,,,
13063040302,,,39.33649289099526,,,
13063040306,,,18.045112781954884,,,
13063040307,,,16.883116883116884,,,
13063040308,,,43.61702127659575,,,
13063040309,,,38.26086956521739,,,
13063040310,,,60,,,
13063040407,,,24.615384615384617,,,
13063040409,,,39,,,
13063040410,,,12.162162162162163,,,
13063040414,,,31.70731707317073,,,
13063040416,,,39.02439024390244,,,
13063040417,,,42.32081911262799,,,
13063040418,,,100,,,
13063040419,,,47.44897959183674,,,
13063040420,,,9.090909090909092,,,
13063040421,,,53.84615384615385,,,
13063040422,,,38.28125,,,
13063040423,,,21.714285714285715,,,
13063040424,,,27.586206896551722,,,
13063040425,,,34.45378151260504,,,
13063040426,,,73.77049180327869,,,
13063040427,,,19.402985074626866,,,
13063040509,,,35.82089552238806,,,
13063040510,,,57.73195876288659,,,
13063040512,,,39.86486486486486,,,
13063040513,,,37.878787878787875,,,
13063040518,,,40.49079754601227,,,
13063040519,,,30.975609756097562,,,
13063040521,,,32.967032967032964,,,
13063040522,,,42.19653179190752,,,
13063040523,,,46.846846846846844,,,
13063040525,,,45.76271186440678,,,
13063040527,,,50,,,
13063040528,,,40,,,
13063040529,,,45.614035087719294,,,
13063040530,,,31.496062992125985,,,
13063040531,,,32.82442748091603,,,
13063040532,,,10.294117647058822,,,
13063040533,,,50.38167938931297,,,
13063040534,,,53.44827586206896,,,
13063040535,,,45.90163934426229,,,
13063040536,,,18.421052631578945,,,
13063040537,,,48.333333333333336,,,
13063040538,,,38.88888888888889,,,
13063040606,,,29.166666666666668,,,
13063040609,,,64.60176991150442,,,
13063040614,,,55.55555555555556,,,
13063040615,,,16.666666666666664,,,
13063040617,,,27.857142857142858,,,
13063040623,,,53.84615384615385,,,
13063040624,,,0,,,
13063040625,,,41.66666666666667,,,
13063040626,,,35.74468085106383,,,
13063040627,,,37.83783783783784,,,
13063040628,,,16.666666666666664,,,
13063040629,,,44.303797468354425,,,
13063040630,,,29.47368421052631,,,
13063040631,,,41.30434782608695,,,
13063040632,,,54.285714285714285,,,
13063040633,,,56.896551724137936,,,
13063040634,,,43.005181347150256,,,
