System ID,System Name,School ID,School Name,Grade Cluster,2015,2016.0,2017.0,2018.0,2019.0,15 to 16,16 to 17,18 to 19,YoY Average,Average is positive?,Average score,CCRPI Score Data Availability (years),Applicable 25th Percentile,Average Score is in Top 75%?,CCRPI Scores Qualify Under Option C?
633,Cobb County,173,Birney Elementary School,E,70.5,60.8,63.5,57.2,73.7,-0.13758865248227000,0.04440789473684220,0.28846153846153800,0.06509359357203700,Yes,65.14,2015-2019,66.04000000000000,No,No
633,Cobb County,175,Walton High School,H,96.8,102.2,101.0,96.3,96.3,0.055785123966942200,-0.011741682974559700,0,0.01468114699746080,Yes,98.52000000000000,2015-2019,67.97,Yes,Yes
633,Cobb County,178,Mabry Middle School,M,92.2,91.3,91.3,84.7,91.7,-0.009761388286334120,0,0.08264462809917360,0.024294413270946500,Yes,90.24,2015-2019,65.54000000000000,Yes,Yes
633,Cobb County,180,Still Elementary School,E,85.8,89.9,91.4,71.2,80.5,0.04778554778554790,0.01668520578420470,0.13061797752809000,0.06502957703261410,Yes,83.76,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,181,Tritt Elementary School,E,89.1,90.8,96.8,84.7,90.2,0.019079685746352400,0.06607929515418500,0.06493506493506490,0.05003134861186750,Yes,90.32,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,184,McCleskey Middle School,M,83.1,82.8,82.5,83.0,81.0,-0.0036101083032490600,-0.0036231884057970700,-0.024096385542168700,-0.010443227417071600,No,82.48000000000000,2015-2019,65.54000000000000,Yes,No
633,Cobb County,185,Garrison Mill Elementary School,E,93.5,95.3,96.8,91.9,95.3,0.019251336898395700,0.015739769150052500,0.03699673558215440,0.023995947210200900,Yes,94.56,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,187,Keheley Elementary School,E,82.6,86.1,88.7,78.1,72.2,0.04237288135593220,0.030197444831591300,-0.07554417413572330,-0.0009912826493999470,No,81.54000000000000,2015-2019,66.04000000000000,Yes,No
633,Cobb County,188,Pope High School,H,94.2,99.4,92.9,91.5,91.6,0.055201698513800500,-0.06539235412474850,0.001092896174863330,-0.003032586478694900,No,93.92,2015-2019,67.97,Yes,No
633,Cobb County,189,Baker Elementary School,E,86.3,83.0,93.7,78.9,82.6,-0.03823870220162220,0.12891566265060200,0.0468948035487958,0.04585725466592540,Yes,84.9,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,190,Dowell Elementary School,E,74.6,65.9,75.9,67.5,75.0,-0.11662198391420900,0.15174506828528100,0.1111111111111110,0.048744731827394300,Yes,71.78,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,191,Varner Elementary School,E,75.9,74.4,89.7,72.1,74.7,-0.01976284584980240,0.20564516129032300,0.03606102635228860,0.07398111393093630,Yes,77.36,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,192,Harrison High School,H,92,98.6,98.4,94.0,96.3,0.07173913043478250,-0.0020283975659228100,0.024468085106382900,0.031392939325080900,Yes,95.86,2015-2019,67.97,Yes,Yes
633,Cobb County,194,Hayes Elementary School,E,69.8,79.5,81.1,69.4,73.8,0.13896848137535800,0.020125786163521900,0.06340057636887600,0.07416494796925210,Yes,74.72,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,197,Vaughan Elementary School,E,85.9,88.3,88.9,80.1,89.2,0.027939464493597100,0.006795016987542570,0.1136079900124850,0.049447490497874700,Yes,86.48,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,198,Chalker Elementary School,E,81.9,79.1,84.7,80.3,87.9,-0.03418803418803430,0.07079646017699130,0.09464508094645090,0.043751168978469300,Yes,82.78,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,199,Nickajack Elementary School,E,79.4,79.7,84.1,74.8,81.7,0.00377833753148611,0.05520702634880790,0.09224598930481290,0.05041045106170230,Yes,79.94,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,202,Lindley Middle School,M,60.8,61.3,65.0,65.5,63.9,0.008223684210526320,0.060358890701468200,-0.024427480916030600,0.014718364665321300,Yes,63.3,2015-2019,65.54000000000000,No,No
633,Cobb County,203,Kemp Elementary School,E,90.7,91.0,97.4,93.5,95.8,0.003307607497243630,0.0703296703296704,0.024598930481283400,0.03274540276939910,Yes,93.68,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,204,Pitner Elementary School,E,73.2,76.8,77.2,79.1,81.7,0.04918032786885240,0.005208333333333410,0.03286978508217460,0.02908614876145350,Yes,77.6,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,207,Austell Elementary School,E,66.1,56.2,76.7,74.0,65.1,-0.14977307110438700,0.36476868327402100,-0.12027027027027000,0.031575113966454600,Yes,67.62,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,209,Allatoona High School,H,90.6,93.7,95.3,89.7,91.8,0.03421633554083900,0.017075773745997800,0.02341137123745810,0.024901160174765000,Yes,92.22,2015-2019,67.97,Yes,Yes
633,Cobb County,214,Smyrna Elementary School,E,58.1,59.9,72.7,70.8,74.7,0.03098106712564540,0.21368948247078500,0.05508474576271200,0.0999184317863807,Yes,67.24,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,273,Kincaid Elementary School,E,87.2,90.8,89.9,70.8,92.2,0.041284403669724700,-0.00991189427312766,0.3022598870056500,0.11121079880074900,Yes,86.18000000000000,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,275,Dodgen Middle School,M,98.4,99.6,101.0,91.8,95.3,0.012195121951219400,0.014056224899598500,0.03812636165577340,0.02145923616886380,Yes,97.22,2015-2019,65.54000000000000,Yes,Yes
633,Cobb County,278,Mount Bethel Elementary School,E,94.2,95.0,96.4,95.6,95.6,0.008492569002123110,0.014736842105263200,0,0.007743137035795440,Yes,95.36000000000000,2015-2019,66.04000000000000,Yes,Yes
633,Cobb County,280,Pine Mountain Middle School,M,73.3,74.4,79.0,69.4,79.4,0.015006821282401200,0.06182795698924720,0.1440922190201730,0.07364233243060710,Yes,75.1,2015-2019,65.54000000000000,Yes,Yes
633,Cobb County,281,Dickerson Middle School,M,94.7,98.7,103.0,90.9,94.3,0.042238648363252400,0.04356636271529890,0.037403740374037300,0.041069583817529500,Yes,96.32,2015-2019,65.54000000000000,Yes,Yes
633,Cobb County,287,Lewis Elementary School,E,72.3,84.0,79.3,84.6,78.4,0.16182572614107900,-0.05595238095238100,-0.07328605200945610,0.01086243105974730,Yes,79.72,2015-2019,66.04000000000000,Yes,Yes
