sys_sch,System ID,System Name,School ID,School Name,2019 CCRPI Single Score,2019 BTO Designation
618108,618,Butts County,108,Stark Elementary School,68.1,Below Expected Range
765405,765,Calhoun City,405,Calhoun Elementary School,79.3,Beating the Odds
7653050,765,Calhoun City,3050,Calhoun High School,68.5,Below Expected Range
765205,765,Calhoun City,205,Calhoun Middle School,66,Below Expected Range
619179,619,Calhoun County,179,Calhoun County Elementary School,49.3,Below Expected Range
619113,619,Calhoun County,113,Calhoun County High School,67.7,Within Expected Range
619213,619,Calhoun County,213,Calhoun County Middle School,52.4,Below Expected Range
620295,620,Camden County,295,Camden County High School,95.4,Beating the Odds
620182,620,Camden County,182,Camden Middle School,78.6,Within Expected Range
620187,620,Camden County,187,Crooked River Elementary School,80.9,Beating the Odds
620195,620,Camden County,195,David L Rainer Elementary School,91.8,Beating the Odds
620193,620,Camden County,193,Kingsland Elementary School,86.8,Beating the Odds
620100,620,Camden County,100,Mamie Lou Gross Elementary School,78.6,Beating the Odds
620495,620,Camden County,495,Mary Lee Clark Elementary School,74.8,Within Expected Range
620189,620,Camden County,189,Matilda Harris Elementary School,74.2,Below Expected Range
620110,620,Camden County,110,Saint Marys Elementary School,83.6,Beating the Odds
620105,620,Camden County,105,Saint Marys Middle School,88.6,Beating the Odds
620197,620,Camden County,197,Sugarmill Elementary,84.5,Within Expected Range
620192,620,Camden County,192,Woodbine Elementary School,84.9,Beating the Odds
621302,621,Candler County,302,Metter Elementary School,64.6,Within Expected Range
621101,621,Candler County,101,Metter High School,82.6,Beating the Odds
621102,621,Candler County,102,Metter Middle School,60.9,Within Expected Range
622198,622,Carroll County,198,Bay Springs Middle School,84.3,Beating the Odds
6222050,622,Carroll County,2050,Bowdon Elementary School,80.4,Beating the Odds
6223050,622,Carroll County,3050,Bowdon High School,65.9,Below Expected Range
622101,622,Carroll County,101,Bowdon Middle School,84.2,Beating the Odds
6225050,622,Carroll County,5050,Central Elementary School,86.1,Beating the Odds
6222052,622,Carroll County,2052,Central High School,76.2,Within Expected Range
622177,622,Carroll County,177,Central Middle School,82,Beating the Odds
622605,622,Carroll County,605,Glanton-Hindsman Elementary,64.8,Below Expected Range
622405,622,Carroll County,405,Ithica Elementary,91.1,Beating the Odds
622176,622,Carroll County,176,Mount Zion Elementary School,74.2,Beating the Odds
622212,622,Carroll County,212,Mt. Zion High School,82.5,Beating the Odds
622208,622,Carroll County,208,Mt. Zion Middle School,66.2,Below Expected Range
622115,622,Carroll County,115,Providence Elementary School,71.8,Below Expected Range
622377,622,Carroll County,377,Roopville Elementary School,84,Beating the Odds
6225052,622,Carroll County,5052,Sand Hill Elementary School,66.8,Below Expected Range
622100,622,Carroll County,100,Sharp Creek Elementary School,86.7,Beating the Odds
6221054,622,Carroll County,1054,Temple Elementary School,62.7,Below Expected Range
622189,622,Carroll County,189,Temple High School,76.6,Beating the Odds
622102,622,Carroll County,102,Temple Middle School,82.1,Beating the Odds
622705,622,Carroll County,705,Villa Rica Elementary School,64.8,Below Expected Range
6225054,622,Carroll County,5054,Villa Rica High School,75.6,Within Expected Range
622305,622,Carroll County,305,Villa Rica Middle,75.8,Within Expected Range
622477,622,Carroll County,477,Whitesburg Elementary School,91.9,Beating the Odds
766193,766,Carrollton City,193,Carrollton Elementary School,83.5,Beating the Odds
7661050,766,Carrollton City,1050,Carrollton High School,78.3,Within Expected Range
7661550,766,Carrollton City,1550,Carrollton Jr. High School,61.9,Below Expected Range
766106,766,Carrollton City,106,Carrollton Middle-Upper Elementary School,78,Beating the Odds
767191,767,Cartersville City,191,Cartersville Elementary School,75.1,Within Expected Range
7672050,767,Cartersville City,2050,Cartersville High School,83.8,Beating the Odds
767277,767,Cartersville City,277,Cartersville Middle School,77.2,Within Expected Range
767177,767,Cartersville City,177,Cartersville Primary School,86.6,Beating the Odds
623103,623,Catoosa County,103,Battlefield Elementary School,81.1,Within Expected Range
623102,623,Catoosa County,102,Battlefield Primary,74.9,Below Expected Range
6231050,623,Catoosa County,1050,Boynton Elementary School,86.8,Beating the Odds
6233050,623,Catoosa County,3050,Cloud Springs Elementary School,82.5,Beating the Odds
