lon,lat,score,score_type
-84.60000000000005,30.650000000000002,0,use_only_actual_tract
-84.55000000000005,30.650000000000002,0,use_only_actual_tract
-84.50000000000006,30.650000000000002,0,use_only_actual_tract
-84.45000000000006,30.650000000000002,0,use_only_actual_tract
-84.40000000000006,30.650000000000002,0,use_only_actual_tract
-84.35000000000007,30.650000000000002,0,use_only_actual_tract
-84.30000000000007,30.650000000000002,0,use_only_actual_tract
-84.25000000000007,30.650000000000002,0,use_only_actual_tract
-84.20000000000007,30.650000000000002,0,use_only_actual_tract
-84.15000000000008,30.650000000000002,0,use_only_actual_tract
-84.10000000000008,30.650000000000002,0,use_only_actual_tract
-84.05000000000008,30.650000000000002,0,use_only_actual_tract
-84.00000000000009,30.650000000000002,0,use_only_actual_tract
-83.95000000000009,30.650000000000002,0,use_only_actual_tract
-83.90000000000009,30.650000000000002,0,use_only_actual_tract
-83.8500000000001,30.650000000000002,0,use_only_actual_tract
-83.8000000000001,30.650000000000002,0,use_only_actual_tract
-83.7500000000001,30.650000000000002,0,use_only_actual_tract
-83.7000000000001,30.650000000000002,0,use_only_actual_tract
-83.6500000000001,30.650000000000002,0,use_only_actual_tract
-83.60000000000011,30.650000000000002,0,use_only_actual_tract
-83.55000000000011,30.650000000000002,6,use_only_actual_tract
-83.50000000000011,30.650000000000002,6,use_only_actual_tract
-83.45000000000012,30.650000000000002,6,use_only_actual_tract
-83.40000000000012,30.650000000000002,6,use_only_actual_tract
-83.35000000000012,30.650000000000002,8,use_only_actual_tract
-83.30000000000013,30.650000000000002,8,use_only_actual_tract
-83.25000000000013,30.650000000000002,8,use_only_actual_tract
-83.20000000000013,30.650000000000002,8,use_only_actual_tract
-83.15000000000013,30.650000000000002,8,use_only_actual_tract
-83.10000000000014,30.650000000000002,6,use_only_actual_tract
-83.05000000000014,30.650000000000002,6,use_only_actual_tract
-83.00000000000014,30.650000000000002,6,use_only_actual_tract
-82.95000000000014,30.650000000000002,6,use_only_actual_tract
-82.90000000000015,30.650000000000002,6,use_only_actual_tract
-82.85000000000015,30.650000000000002,6,use_only_actual_tract
-82.80000000000015,30.650000000000002,6,use_only_actual_tract
-82.75000000000016,30.650000000000002,6,use_only_actual_tract
-82.70000000000016,30.650000000000002,6,use_only_actual_tract
-82.65000000000016,30.650000000000002,6,use_only_actual_tract
-82.60000000000016,30.650000000000002,6,use_only_actual_tract
-82.55000000000017,30.650000000000002,0,use_only_actual_tract
-82.50000000000017,30.650000000000002,0,use_only_actual_tract
-82.45000000000017,30.650000000000002,0,use_only_actual_tract
-82.40000000000018,30.650000000000002,8,use_only_actual_tract
-82.35000000000018,30.650000000000002,8,use_only_actual_tract
-82.30000000000018,30.650000000000002,8,use_only_actual_tract
-82.25000000000018,30.650000000000002,8,use_only_actual_tract
-82.20000000000019,30.650000000000002,8,use_only_actual_tract
-82.15000000000019,30.650000000000002,6,use_only_actual_tract
