ID_NUMBER,FACILITY_NAME,FULL_ENFORCEMENT,HREPORT_UNIVERSE_RECORD,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,LONGITUDE83,FED_WASTE_GENERATOR,ACTIVE_SITE,OPERATING_TSDF,NAICS_CODE
GAD981243405,AUTO COLLISION,------,Other,1115 EAST 2ND AVE,ROME,GA,30161,34.23913,-85.16047,N  ,-----,------         ,
GAD981268816,B & R SANDBLASTING & PAINTING,------,Other,4237 WEEMS RD,COLUMBUS,GA,31909,32.539457,-84.920825,N  ,-----,------         ,
GAD981275910,KENWORTH OF SAVANNAH INC,------,Other,HWY 21 N,PORT WENTWORTH,GA,31407,,,N  ,-----,------         ,
GAD981218944,HUTSON MOTOR CO INC,------,Other,FIRST AVE SE,MOULTRIE,GA,31768,,,N  ,-----,------         ,
GAR000036954,WASHINGTON MANUFACTURING,------,Other,1664 SHARON RD,WASHINGTON,GA,30673,,,N  ,-----,------         ,315119
GAR000025379,MECHANICAL MAINTENANCE INC,------,Other,4008 MIKE PADGETT HWY (HWY 565),AUGUSTA,GA,30916,,,N  ,-----,------         ,
GAD981264161,WILDFIRE INC,------,Other,RT 1 BOX 349A,WINDER,GA,30680,,,N  ,-----,------         ,
GAD981223324,DIXIE MOTORS INC,------,Other,2013 E VICTORY DR,SAVANNAH,GA,31404,32.04208,-81.066362,N  ,-----,------         ,44111
GAD981273881,FEDERAL EXPRESS CORP,------,Other,1104 S HAMILTON AVE,DALTON,GA,30720,34.758987,-84.967311,N  ,-----,------         ,
GAD000610121,VALDOSTA STATE UNIVERSITY,------,SQG,1500 NORTH PATTERSON ST,VALDOSTA,GA,31698-0242,30.846855,-83.287388,2  ,H----,------         ,61131
GAD981224355,RAGAN BRAD TIRE & APPLIANCES,------,Other,225 N LEE ST,AMERICUS,GA,31709,32.074082,-84.232653,N  ,-----,------         ,811118
GAD984316711,ROY RAY CARB SHOP,------,Other,3216 VICTORY DR,COLUMBUS,GA,31903,32.432386,-84.954777,N  ,-----,------         ,
GAR000014118,STATHAM CASKET CO LLC,------,Other,1946 RAILROAD ST,STATHAM,GA,30666,33.96033,-83.589289,N  ,-----,------         ,
GAD981237886,SWISHER INTERNATIONAL INC,------,Other,600 HAINES ST,WAYCROSS,GA,31501,31.206038,-82.359559,N  ,-----,------         ,312229
GAD984315390,COLONIAL BAKING CO,------,Other,2743 MONTPELIER AVE,MACON,GA,31204,32.831106,-83.666096,N  ,-----,------         ,
GAD981216617,DEMPSTER-TOCCOA,------,Other,HWY 123,TOCCOA,GA,30577,,,N  ,-----,------         ,
GAR000022160,BARNARD STREET CLEANERS,------,Other,308-B W BARNARD ST,GLENNVILLE,GA,30427,,,N  ,-----,------         ,
GAD984304782,COLONIAL PRINTING,------,Other,ROUTE 2 BOX 299,CHATSWORTH,GA,30705,,,N  ,-----,------         ,
GAD981274665,ZIPPY MART GA541,------,Other,514 N IRWIN AVE,OCILLA,GA,31774,31.599638,-83.250501,N  ,-----,------         ,
GAD981274681,ZIPPY MART GA553,------,Other,JEFFERSON & WASHINGTON STS,FT GAINES,GA,31751,,,N  ,-----,------         ,
GAD981267974,CHIQUITA BRANDS,------,Other,GATE 5 TRIPPE BLVD & BOWDEN RD,GARDEN CITY,GA,31408,,,N  ,-----,------         ,
GAD981222409,LEND LEASE FACILITY,------,Other,WHITFIELD INDUSTRIAL PK,DALTON,GA,30720,,,N  ,-----,------         ,
GAD981262579,GEORGIA SAMPLEBOOK CO,------,Other,I-75 & 150 CONNECTOR 3,DALTON,GA,30720,,,N  ,-----,------         ,323121
GAD981269889,AUTOVALET,------,Other,7701 WATERS AVE,SAVANNAH,GA,31406,31.999273,-81.103479,N  ,-----,------         ,
GAR000000935,AMERICAN TRANSM,------,Other,1102 E VICTORY DR,SAVANNAH,GA,31404,32.048025,-81.085164,N  ,-----,------         ,
GAD981217326,AMOENA CORP,------,Other,2150 NEWMARKET PKWY STE 116,MARIETTA,GA,30067,33.919775,-84.493932,N  ,-----,------         ,
GAR000014258,HEIDELBERG USA,------,Other,3240 TOWN POINT PKWY,KENNESAW,GA,30144,34.027708,-84.581018,N  ,-----,------         ,
GAD981238298,MORRISON-COOK MOTOR SPORTS,------,Other,907 ROOSEVELT AVE,ALBANY,GA,31701,31.580679,-84.171475,N  ,-----,------         ,
GA0000146274,TRUCK AND TRAILER OF MACON INC,------,Other,2451 ALLEN RD,MACON,GA,31206,32.740908,-83.654069,N  ,-----,------         ,811111
GAD981238330,MCKELLER MOTORS INC,------,Other,QUITMAN HWY,MOULTRIE,GA,31768,,,N  ,-----,------         ,44111
GA0000101741,MITCHELL TRANSMISSION CENTER,------,Other,4013 AUGUSTA RD,GARDEN CITY,GA,31408,32.101392,-81.146268,N  ,-----,------         ,
GAD981227622,MITCHELLS SHELL 46,------,Other,12306 LARGO DR,SAVANNAH,GA,31419,31.981091,-81.148188,N  ,-----,------         ,
GAD981226004,BICKEL TRUCK SVC,------,Other,1031 W JACKSON ST,THOMASVILLE,GA,31792,30.824594,-83.991827,N  ,-----,------         ,
GAD984298042,BRYAN & JORDAN BODY SHOP,------,Other,610 S MAIN ST,SYLVESTER,GA,31791,31.51628,-83.83608,N  ,-----,------         ,
GAD981262249,DRYCLEAN USA #328,------,Other,201 JOHNNY MERCER BLVD,SAVANNAH,GA,31410,32.016598,-80.978507,N  ,-----,------         ,
GAR000037218,GOLD KIST INC TALMO RESEARCH FACILITY,------,Other,3881 ATHENS HWY,TALMO,GA,30575,,,N  ,-----,------         ,11221
GAD981218639,PONTIAC MASTER INC,------,Other,11TH AT TELFAIR,AUGUSTA,GA,30903,,,N  ,-----,------         ,
GAD981244882,PENN TRUCKING CO,------,Other,136 SEEDLING DR,CORDELE,GA,31015,31.989559,-83.794923,N  ,-----,------         ,
GAD093707677,MANCRO AIRCRAFT COMPANY,------,Other,88 GREEN ST,WARNER ROBINS,GA,31093,,,N  ,-----,------         ,
GAD981278328,GASTON CO CARPET MACHINERY CORP,------,Other,BATTLEFIELD PKWY & OLD MILL RD,RINGGOLD,GA,30736,34.93162,-85.182481,N  ,-----,------         ,
GAD981252760,GERSTNER MFG INC,------,Other,390 DAIRY-PAK RD,ATHENS,GA,30607,33.978279,-83.390265,N  ,-----,------         ,
GAR000021188,ICON ENVIRONMENTAL SERVICE,------,Other,1218 EAST HENRY ST,SAVANNAH,GA,31404,,,N  ,-----,------         ,
GAR000001362,GREGG ISAACS POG NISSAN INC,------,Other,203 S DAVID ST,NASHVILLE,GA,31639,31.206393,-83.250321,N  ,-----,------         ,
GAD981219801,HEADRICK KEN CHEVROLET,------,Other,822 N 3RD AVE,CHATSWORTH,GA,30705,34.775242,-84.769671,N  ,-----,------         ,
GAD981236417,HISAW MOTOR LINES,------,Other,1716 1ST AVE,COLUMBUS,GA,31902,,,N  ,-----,------         ,
GAD984318246,MOHAWK HORIZON,------,Other,RIDGE AVE CORNER 3RD ST,TIFTON,GA,31794,,,N  ,-----,------         ,
GAR000015750,PATAULA SHORES STORE,------,Other,HIGHWAY 39 SOUTH,FORT GAINES,GA,31751,,,N  ,-----,------         ,
GAD981270523,RED LAMB PAINT & BODY SHOP,------,Other,600 PINE AVE,ALBANY,GA,31701,31.57832,-84.160209,N  ,-----,------         ,
GAR000034421,ACCESSORY OVERHAUL GROUP,------,Other,1454 WILLIAMSON RD,GRIFFIN,GA,30224,,,N  ,-----,------         ,44131
GAR000000034,AD LITE SIGNS,------,Other,130 HUGH ROAD,LEESBURG,GA,31763,31.62856,-84.228689,N  ,-----,------         ,
GAD984300699,LUBRICATION ANALYSTS INC,------,Other,1604 W OAKRIDGE DR,ALBANY,GA,31707,31.54865,-84.19264,N  ,-----,------         ,
GAR000027425,TRANE COMPANY THE,------,Other,7590 NE INDUSTRIAL BLVD,MACON,GA,31206,,,N  ,-----,------         ,
GAD981224769,MAGNUM BOATS INC,------,Other,BAYTREE RD & GORDON ST EXT,VALDOSTA,GA,31603,30.84696,-83.311783,N  ,-----,------         ,
GAD981237696,YARBROUGH PAINT & BODY,------,Other,7404 WATERS AVE,SAVANNAH,GA,31406,32.002108,-81.102501,N  ,-----,------         ,
GAD984321190,ALL ABOUT AUTO BODY INC,------,Other,1058B U S HWY 19 SOUTH,LEESBURG,GA,31763,31.67096,-84.172724,N  ,-----,------         ,811121
GAD981267701,ASTECHNOLOGIES,------,Other,OLD SALEM RD,JASPER,GA,30143,,,N  ,-----,------         ,
GAR000017384,B&H BODY SHOP & SALES INC,------,SQG,6320 HAWKINSVILLE RD,MACON,GA,31216,32.724728,-83.65417,2  ,H----,------         ,811121
GAD984299040,SOMMERS 30 TIME SAVER,------,Other,I-16 & HWY 280 EXIT 29,ELLABELL,GA,31308,,,N  ,-----,------         ,
GAD984299008,SOMMERS 36,------,Other,8408 WHITE BLUFF RD,SAVANNAH,GA,31406,31.998239,-81.122016,N  ,-----,------         ,
GAD981269707,TRIWOOD CORP,------,Other,333 SWEAT AVE,AMERICUS,GA,31709,,,N  ,-----,------         ,
GAD981267743,STAR PAPER TUBE INC,------,Other,121 WEST CALLAHAN RD,DALTON,GA,30722,,,N  ,-----,------         ,
GA0000080291,IN MOTION AUTOMOTIVE TEAM,------,Other,3418 N EXPRESSWAY,GRIFFIN,GA,30223,33.322386,-84.28935,N  ,-----,------         ,
GAD981229347,SIGNS INCORPORATED,------,Other,4306 HAMILTON RD,COLUMBUS,GA,31904,32.504998,-84.97162,N  ,-----,------         ,33995
GAD981239585,SUTTON VANESSA CONSTRUCTION CO,------,Other,333 SIMS ST,BARNESVILLE,GA,30204,33.05537,-84.144306,N  ,-----,------         ,
GAD984321968,H H CUTLER,------,Other,515-1/2 DENMARK ST,STATESBORO,GA,30458,32.449667,-81.799194,N  ,-----,------         ,
GAD981267214,WILSON JERRY FORD MERCURY,------,Other,HWY 27 NORTH,LAFAYETTE,GA,30728,,,N  ,-----,------         ,
GAR000019372,JERRY KELLEY PONTIAC-OLDSMOBILE,------,Other,203 SOUTH DAVIS ST,NASHVILLE,GA,31639,,,N  ,-----,------         ,
GAR000032615,WEST POINT STEVENS DALTON PLANT,------,Other,2477 LAKELAND RD,DALTON,GA,30721,,,N  ,-----,------         ,
GAD981239619,GEORGIA AUTO BODY REPAIR,------,Other,518 13TH ST,AUGUSTA,GA,30901,33.475264,-81.976916,N  ,-----,------         ,
GAR000025452,EASTMAN CHEMICAL RESINS INC SAV PLNT,------,Other,3000 LOUISVILLE RD,SAVANNAH,GA,31415,,,N  ,-----,------         ,
GAD981218662,J & J CHRYSLER JEEP INC,------,Other,KYTLE STREET,CLEVELAND,GA,30528,,,N  ,-----,------         ,44111
GAR000019927,ROGERS STATE PRISON,------,Other,200 ROGERS RD,REIDSVILLE,GA,30453,,,N  ,-----,------         ,
GAD981262777,J & J INDUSTRIES INC,------,Other,818 J & J DR,DALTON,GA,30721,,,N  ,-----,------         ,
GAD981225865,HAYES CHRYSLER DODGE JEEP INC.,------,SQG,3115 FRONTAGE ROAD,GAINESVILLE,GA,30501,34.230321,-83.863565,2  ,H----,------         ,811121
GAR000029934,SAVANNAH COLLEGE  OF ART & DESIGN - MONTGOMERY,------,Other,3515 MONTGOMERY ST,SAVANNAH,GA,31401,32.068168,-81.100721,N  ,-----,------         ,61131
GAD981282924,BATASTINI TAILORS CLEANERS,------,Other,500 12TH ST.,COLUMBIA,GA,31901-2522,32.468468,-84.986133,N  ,-----,------         ,
GAD984289538,J & J CHRYSLER,------,Other,CLARKSVILLE HWY,CLEVELAND,GA,30558,,,N  ,-----,------         ,
GAD981262272,MAACO AUTO PAINTING & BODY WORKS CENTERS,------,Other,8284 TARA BLVD,JONESBORO,GA,30236,33.52348,-84.363609,N  ,-----,------         ,
GAR000002725,ANACOMP,------,Other,3980 DEKALB TECHNOLOGY PKWY,ATLANTA,GA,30244,,,N  ,-----,------         ,
GAR000018176,ACCIDENTAL FRIENDS COLLISION,------,Other,2333 HWY 78,LOGANVILLE,GA,30052,,,N  ,-----,------         ,
GAD981265739,CISCO FORD INC,------,Other,209 S SECOND ST,FOLKSTON,GA,31537,30.8302,-82.006238,N  ,-----,------         ,
GAR000009555,COOPER TRUCK & TRAILER REPAIR & SALES,------,Other,1532 GORDON HWY,AUGUSTA,GA,30906,33.43761,-82.008593,N  ,-----,------         ,
GAD981282189,CENTRAL REGION REPAIR CENTER,------,Other,614 N DAVIS DR,WARNER ROBINS,GA,31093,32.632087,-83.612878,N  ,-----,------         ,
GAD981217250,KEEBLER CO MACON BAKERY,------,Other,4375 MEAD RD,MACON,GA,31206,32.783775,-83.638804,N  ,-----,------         ,311821
GAD981223282,BUILDERS TRANSPORT INC,------,Other,HWY 21 NORTH,SAVANNAH,GA,31408,,,N  ,-----,------         ,
GAD981271927,C & J LEASING - VILLANOW SHOP,------,Other,12176 E HWY 136,LAFAYETTE,GA,30728,34.672134,-85.110526,N  ,-----,------         ,
GAD057297400,GENERAL TIME CORPORATION,------,Other,100 NEWTON BRIDGE RD,ATHENS,GA,30613,33.986104,-83.396959,N  ,-----,------         ,334518
GAD057297400,GENERAL TIME CORPORATION,------,Other,100 NEWTON BRIDGE RD,ATHENS,GA,30613,33.986104,-83.396959,N  ,-----,------         ,44831
GAD057297400,GENERAL TIME CORPORATION,------,Other,100 NEWTON BRIDGE RD,ATHENS,GA,30613,33.986104,-83.396959,N  ,-----,------         ,42194
GAD981239668,BURT LUMBER CO TREATMENT DIV,------,SQG,216 BURT LUMBER RD,WASHINGTON,GA,30673,33.719003,-82.760341,2  ,H----,------         ,321114
GAD981226525,TROUBLE SHOOTERS,------,Other,4403 BULL ST,SAVANNAH,GA,31405,32.039168,-81.10724,N  ,-----,------         ,
