SITE NAME,SITE ADDRESS LINE1,SITE CITY,SITE COUNTY / PARISH,SITE POSTAL CODE,SITE STATE,SITE LATITUDE,SITE LONGITUDE,SITE NAICS CODE 1
OPTIMA CHEMICAL GROUP LLC,200 WILLACOOCHEE HWY.,DOUGLAS,COFFEE COUNTY,31535-4118,GA,31.48591,-82.86318,325199 All Other Basic Organic Chemical Manufacturing
PEACH STATE LABS LLC,180 BURLINGTON RD NE,ROME,FLOYD COUNTY,30161,GA,34.34099,-85.07544,325199 All Other Basic Organic Chemical Manufacturing
JOHNSON MATTHEY PROCESS TECHNOLOGIES INC,115 ELI WHITNEY BLVD.,SAVANNAH,CHATHAM COUNTY,31408,GA,32.111191,-81.221069,325180 Other Basic Inorganic Chemical Manufacturing
GEO SPECIALTY CHEMICALS,1600 EAST PRESIDENT STREET,SAVANNAH,,31404-1016,GA,32.07356,-81.06543,424690 Other Chemical And Allied Products Merchant Wholesalers
"KEMIRA WATER SOLUTIONS, INC.",1000 PARKWOOD CIR SE,ATLANTA,COBB COUNTY,30339,GA,33.90209,-84.459658,325180 Other Basic Inorganic Chemical Manufacturing
FIRTH RIXSON FORGINGS LLC,93 DUNWOODY CT,MIDWAY,LIBERTY,31320,GA,31.780532,-81.353717,332111 Iron And Steel Forging
Novelis Corp,3560 Lenox Road,Atlanta,,30326,GA,33.85114,-84.36651,331314 Secondary Smelting And Alloying Of Aluminum
"BONNELL ALUMINUM, INC.",25 BONNELL STREET,NEWNAN,COWETA COUNTY,30263-1603,GA,33.38187,-84.81492,331314 Secondary Smelting And Alloying Of Aluminum
CEMEX SOUTHEAST LLC,2720 HIGHWAY 341 SOUTH,CLINCHFIELD,HOUSTON,31013,GA,32.4152,-83.6333,327310 Cement Manufacturing
CRH AMERICAS INC,900 ASHWOOD PKWY,ATLANTA,DEKALB COUNTY,30338,GA,33.932258,-84.34055,"551114 Corporate, Subsidiary, And Regional Managing Offices"
CHEMTRADE SOLUTIONS LLC.,1580 COLUMBIA NITROGEN DR.,AUGUSTA,RICHMOND COUNTY,30901,GA,33.433315,-81.935381,325188 All Other Basic Inorganic Chemical Manufacturing
INNOVATIVE WATER CARE LLC,1400 BLUEGRASS LAKES PKWY,ALPHARETTA,FORSYTH COUNTY,30004,GA,34.11413,-84.23102,325998 All Other Miscellaneous Chemical Product And Preparation Manufacturing
BURGESS PIGMENT COMPANY,525 BECK BOULEVARD,SANDERSVILLE,WASHINGTON,31082-2903,GA,32.97383,-82.82248,327992 Ground Or Treated Mineral And Earth Manufacturing
HONDA PRECISION PARTS OF GEORGIA LLC,550 HONDA PKWY,TALLAPOOSA,HARALSON,30176,GA,33.74455,-85.288008,336350 Motor Vehicle Transmission And Power Train Parts Manufacturing
Airgas Specialty Products - Corporate Office,2530 Sever Road Suite 300,Lawrenceville,,30043,GA,33.999241,-84.070449,424690 Other Chemical And Allied Products Merchant Wholesalers
"PCS NITROGEN FERTILIZER, L.P.",733 1/2 LANEY WALKER BLVD EXTENSION,AUGUSTA,RICHMOND,30901,GA,33.44461,-81.93266,325311 Nitrogenous Fertilizer Manufacturing
"AIRGAS SPECIALTY PRODUCTS INC., COLUMBUS, GA",310 BRENNAN ROAD,COLUMBUS,MUSCOGEE COUNTY,31903-2011,GA,32.448024,-84.943261,424690 Other Chemical And Allied Products Merchant Wholesalers
ARCH WOOD PROTECTION INC,1579 KOPPERS ROAD,CONLEY,DE KALB,30288-1215,GA,33.66332,-84.3262,325320 Pesticide And Other Agricultural Chemical Manufacturing
ARGOS USA CORP,3015 WINDWARD PLZ,ALPHARETTA,FULTON COUNTY,30005,GA,34.091238,-84.243965,327310 Cement Manufacturing
INTERNATIONAL PAPER CO - SAVANNAH COMPLEX,1201 WEST LATHROP AVENUE,SAVANNAH,CHATHAM COUNTY,31415-1049,GA,32.10387,-81.123062,322130 Paperboard Mills
INTERSTATE PAPER LLC DBA DSSMITH RICEBORO,2366 INTERSTATE PAPER RD,RICEBORO,LIBERTY COUNTY,31323,GA,31.74053,-81.406,322110 Pulp Mills
BRUNSWICK CELLULOSE,W 9TH STREET,BRUNSWICK,GLYNN,31521,GA,31.173147,-81.519247,322110 Pulp Mills
BOWEN STEAM ELECTRIC GENERATING PLANT,317 COVERED BRIDGE RD.,CARTERSVILLE,BARTOW,30120-5907,GA,34.125556,-84.919167,221112 Fossil Fuel Electric Power Generation
GEORGIA POWER COMPANY SCHERER STEAM ELECTRIC GENERATING STATION,10986 HIGHWAY 87,JULIETTE,MONROE,31046,GA,33.0613,-83.8066,221112 Fossil Fuel Electric Power Generation
MITCHELL STEAM ELECTRIC GENERATING PLANT,5200 RADIUM SPRINGS ROAD,ALBANY,DOUGHERTY,31705-6134,GA,31.44375,-84.136917,562212 Solid Waste Landfill
WANSLEY STEAM ELECTRIC GENERATING PLANT,LIBERTY CHURCH ROAD,ROOPVILLE,CARROLL,30170,GA,0.0,0.0,221112 Fossil Fuel Electric Power Generation
OWENS CORNING ROOFING & ASPHALT LLC ATLANTA,4795 FREDERICK DRIVE,ATLANTA,FULTON,30336-1839,GA,33.7625,-84.54611,324121 Asphalt Paving Mixture And Block Manufacturing
"PINOVA, INC.",2801 COOK ST,BRUNSWICK,GLYNN COUNTY,31520,GA,31.16398,-81.47939,325191 Gum And Wood Chemical Manufacturing
OMNOVA SOLUTIONS INC.,1401 HIGHWAY 41 S.W.,"CALHOUN, GORDON",,30701,GA,0.0,0.0,325211 Plastics Material And Resin Manufacturing
"LINTECH INTERNATIONAL, INC.",7705 NE INDUSTRIAL BLVD,MACON,BIBB COUNTY,31216,GA,32.69901,-83.66576,424690 Other Chemical And Allied Products Merchant Wholesalers
"MAYZO, INC.",3935 LAKEFIELD CT,SUWANEE,GWINETT,30024,GA,34.0656,-84.15674,424690 Other Chemical And Allied Products Merchant Wholesalers
ZEP INC.,1310 SEABOARD INDL. BLVD,ATLANTA,FULTON COUNTY,30318-2825,GA,33.808056,-84.428333,424690 Other Chemical And Allied Products Merchant Wholesalers
DYSTAR LP,2474 ABUTMENT RD,DALTON,WHITFIELD COUNTY,30721,GA,34.715395,-84.962612,325998 All Other Miscellaneous Chemical Product And Preparation Manufacturing
GOODWIN COMPANY,700 PROGRESS CENTER AVE.,LAWRENCEVILLE,GWINNETT COUNTY,30043,GA,33.986057,-83.966639,325611 Soap And Other Detergent Manufacturing
THEOCHEM GEORGIA,3780 BROWNS MILL RD SE,ATLANTA,FULTON COUNTY,30354,GA,33.65683,-84.39072,325611 Soap And Other Detergent Manufacturing
BASF CATALYSTS (MCINTYRE PLANTS),1277 DEDRICK RD,MCINTYRE,WILKINSON,31054-2701,GA,32.852745,-83.232553,212324 Kaolin And Ball Clay Mining
OIL-DRI CORP OF GEORGIA,28990 GEORGIA HIGHWAY 3 NORTH,OCHLOCKNEE,THOMAS COUNTY,31773,GA,30.97219,-84.05522,325998 All Other Miscellaneous Chemical Product And Preparation Manufacturing
HENKEL CALHOUN,923 MAULDIN RD NW,CALHOUN,GORDON COUNTY,30701,GA,34.5264,-84.94932,325520 Adhesive Manufacturing
VENATOR AMERICAS LLC,1895 DOUG BARNARD PKWY,AUGUSTA,RICHMOND COUNTY,30906,GA,33.385959,-81.979523,325130 Synthetic Dye And Pigment Manufacturing
SAFT AMERICA INC.,711 GIL HARBIN INDUSTRIAL BLVD,VALDOSTA,LOWNDES COUNTY,31601,GA,30.80266,-83.28763,335911 Storage Battery Manufacturing
CARGILL,862 W. RIDGE RD.,GAINESVILLE,HALL,30501,GA,34.29015,-83.80998,311225 Fats And Oils Refining And Blending
"BIRLA CARBON U.S.A., INC",1800 W OAK COMMONS CT,MARIETTA,COBB COUNTY,30062,GA,33.982812,-84.522655,"551114 Corporate, Subsidiary, And Regional Managing Offices"
FLINT HILLS RESOURCES CAMILLA LLC,4433 LEWIS B. COLLINS ROAD,PELHAM,MITCHELL,31779,GA,31.169408,-84.162558,325193 Ethyl Alcohol Manufacturing
"BARBE AMERICA, INC.",4208 W. WHITE ROAD,OAKWOOD,HALL,30566,GA,34.21374,-83.89722,325199 All Other Basic Organic Chemical Manufacturing
"IMERYS CARBONATES, INC.",100 MANSELL CT E,ROSWELL,FULTON COUNTY,30076,GA,34.04116,-84.32826,212399 All Other Nonmetallic Mineral Mining
INTERNATIONAL PAPER - FLINT RIVER MILL,2449 STAGECOACH RD,OGLETHORPE,MACON COUNTY,31068,GA,32.2531,-84.0691,322110 Pulp Mills
INTERNATIONAL PAPER PORT WENTWORTH MILL,1 BONNYBRIDGE RD,PORT WENTWORTH,CHATHAM COUNTY,31407,GA,32.1576,-81.16258,322110 Pulp Mills
GEORGIA PACIFIC CEDAR SPRINGS LLC,12551 GEORGIA HIGHWAY 273,CEDAR SPRINGS,EARLY,39832,GA,0.0,0.0,322130 Paperboard Mills
RAYONIER PERFORMANCE FIBERS JESUP MILL,4470 SAVANNAH HIGHWAY,JESUP,WAYNE,31545-5275,GA,31.658978,-81.84287,322110 Pulp Mills
CLOROX MANUFACTURING COMPANY,17 LAKE MIRROR RD,FOREST PARK,CLAYTON COUNTY,30297,GA,33.62825,-84.38805,325611 Soap And Other Detergent Manufacturing
BASF CORP ATTAPULGUS OPS,141 ENGELHARD RD,ATTAPULGUS,DECATUR,39815-9607,GA,30.738055,-84.49394,327992 Ground Or Treated Mineral And Earth Manufacturing
SQM North America,2727 Paces Ferry Road,Atlanta,,30339,GA,33.86637,-84.47363,325311 Nitrogenous Fertilizer Manufacturing
"MFG CHEMICAL, INC. KIMBERLY PARK PLANT",1804 KIMBERLY PARK DRIVE,DALTON,WHITFIELD COUNTY,30720-7058,GA,34.80361,-84.99938,325199 All Other Basic Organic Chemical Manufacturing
US CERAMICS LLC,1300 COMMERCE CONNECTOR,WRENS,JEFFERSON COUNTY,30833,GA,33.169217,-82.368215,212325 Clay And Ceramic And Refractory Minerals Mining
KEMIRA CHEMICALS INC,2360 DOUG BARNARD PARKWAY,AUGUSTA,RICHMOND COUNTY,30906-9288,GA,33.348348,-81.961751,325180 Other Basic Inorganic Chemical Manufacturing
ERCO WORLDWIDE INC,5700 HUNT RD.,VALDOSTA,LOWNDES,31606,GA,30.83227,-83.22214,325188 All Other Basic Inorganic Chemical Manufacturing
GRAPHIC PACKAGING INTERNATIONAL AUGUSTA MILL,4278 MIKE PADGETT HIGHWAY,AUGUSTA,RICHMOND COUNTY,30906-9784,GA,33.3286,-81.9537,322121 Paper (Except Newsprint) Mills
BEKAERT STAINLESS TECHNOLOGIES,1395 S MARIETTA PKWY SE,MARIETTA,,30067,GA,33.94042,-84.51205,331222 Steel Wire Drawing
SOUTHWIRE COMPANY COPPER ROD MILL,ONE SOUTHWIRE DRIVE,CARROLLTON,CARROLL,30119,GA,33.56601,-85.07093,"331420 Copper Rolling, Drawing, Extruding, And Alloying"
ESSEX GROUP CANADA INC,5770 POWERS FERRY RD NW,ATLANTA,FULTON COUNTY,30327,GA,33.912675,-84.418427,"331421 Copper Rolling, Drawing, And Extruding"
CARBO CERAMICS,2295 WRILEY RD,MCINTYRE,WILKINSON,31054-2119,GA,32.847713,-83.16582,212324 Kaolin And Ball Clay Mining
US SILICA - MILLEN FACILITY (FORMERLY - CARBO CERAMICS INC  -  MILLEN FACILITY,3949 HIGHWAY 17 SOUTH,MILLEN,JENKINS,30442,GA,32.766596,-81.897722,327992 Ground Or Treated Mineral And Earth Manufacturing
GEORGIA-PACIFIC CONSUMER OPERATIONS LLC - SAVANNAH RIVER MILL,437 OLD AUGUSTA RD S,RINCON,EFFINGHAM COUNTY,31326,GA,32.331293,-81.201904,322121 Paper (Except Newsprint) Mills
GERDAU AMERISTEEL CARTERSVILLE STEEL MILL,384 OLD GRASSDALE RD NE,CARTERSVILLE,BARTOW,30121,GA,34.244634,-84.798447,331110 Iron And Steel Mills And Ferroalloy Manufacturing
ARROWSTAR,1815 S HAMILTON ST,DALTON,WHITFIELD COUNTY,30720,GA,34.74293,-84.9629,325199 All Other Basic Organic Chemical Manufacturing
GOLDEN PEANUT CO LLC-DAWSON,715 MARTIN LUTHER KING JR DR,DAWSON,TERRELL COUNTY,39842,GA,31.783333,-84.446348,311224 Soybean And Other Oilseed Processing
KRATON CHEMICAL LLC-SAVANNAH PLANT,1201 W LATHROP AVE,SAVANNAH,CHATHAM COUNTY,31415,GA,32.09681,-81.125363,"325194 Cyclic Crude, Intermediate, And Gum And Wood Chemical Manufacturing"
LITHONIA,6606 MARSHALL BLVD,LITHONIA,US,30058,GA,33.7357,-84.11882,325998 All Other Miscellaneous Chemical Product And Preparation Manufacturing
HEXION INC. COLUMBUS SITE,1201 10TH AVE,COLUMBUS,MUSCOGEE COUNTY,31901,GA,32.46889,-84.9797,325998 All Other Miscellaneous Chemical Product And Preparation Manufacturing
OWENS-BROCKWAY GLASS CONTAINER INC PLANT #10,3107 SYLVAN ROAD,ATLANTA,FULTON,30354-1021,GA,33.66849,-84.4189,327213 Glass Container Manufacturing
Potters Industries,2511 Newsprint Rd,Augusta,,30906,GA,33.33738,-81.954951,325180 Other Basic Inorganic Chemical Manufacturing
"DURACELL MANUFACTURING, INC.",1567 LUKKEN IND US TRIAL DR W,LAGRANGE,TROUP COUNTY,30240,GA,33.01288,-85.05494,335912 Primary Battery Manufacturing
ADM-VALDOSTA-SOUTHERN COTTON OIL CO,1841 CLAY RD,VALDOSTA,LOWNDES COUNTY,31601,GA,30.8325,-83.248056,311224 Soybean And Other Oilseed Processing
