2020 Census Tract,T2_est77,T2_est84,T2_est91,Total Rental Units with Severe Housing Problems and Equal to or less than 80% AMI,T7_est109,T7_est130,T7_est151,Total Rental Units Equal to or less than 80% AMI,% of rental units occupied by 80% AMI and below with Severe Housing Problems
13051010102,130,50,20,200,200,130,120,450,0.4444444444444444
13051010200,60,95,20,175,80,145,105,330,0.5303030303030303
13051010502,145,70,0,215,155,205,460,820,0.2621951219512195
13051010503,75,10,0,85,80,55,75,210,0.40476190476190477
13051010504,190,45,30,265,340,85,175,600,0.44166666666666665
13051010601,25,95,0,120,200,360,205,765,0.1568627450980392
13051010603,35,40,15,90,55,70,100,225,0.4
13051010701,0,0,0,0,0,0,0,0,-
13051010702,100,0,0,100,130,0,330,460,0.21739130434782608
13051010703,85,35,135,255,85,80,190,355,0.7183098591549296
13051010704,0,240,15,255,0,240,40,280,0.9107142857142857
13051010705,0,0,0,0,0,0,0,0,-
13051010706,0,85,0,85,0,85,0,85,1
13051010707,0,0,0,0,0,0,0,0,-
13051010801,55,70,0,125,95,115,155,365,0.3424657534246575
13051010806,65,25,0,90,65,115,290,470,0.19148936170212766
13051010807,285,100,15,400,285,120,60,465,0.8602150537634409
13051010810,75,0,0,75,75,0,45,120,0.625
13051010811,160,0,0,160,160,30,210,400,0.4
13051010812,0,0,0,0,0,0,0,0,-
13051010813,240,60,0,300,240,60,180,480,0.625
13051010814,0,95,105,200,0,115,375,490,0.40816326530612246
13051010815,0,0,25,25,0,0,120,120,0.20833333333333334
13051010816,15,180,0,195,30,180,135,345,0.5652173913043478
13051010817,0,35,0,35,0,35,0,35,1
13051010818,115,0,0,115,135,25,95,255,0.45098039215686275
13051010819,0,0,85,85,20,10,150,180,0.4722222222222222
13051010820,15,55,35,105,15,55,205,275,0.38181818181818183
13051010821,0,0,0,0,0,10,10,20,0
13051010901,240,190,4,434,375,315,280,970,0.44742268041237115
13051011004,0,0,10,10,20,0,25,45,0.2222222222222222
13051011005,0,0,10,10,0,0,10,10,1
13051011006,15,40,10,65,50,50,40,140,0.4642857142857143
13051011007,0,0,0,0,15,65,25,105,0
13051011008,75,10,0,85,75,25,35,135,0.6296296296296297
13051011104,20,15,0,35,75,75,105,255,0.13725490196078433
13051011107,0,0,15,15,0,45,15,60,0.25
13051011108,0,10,0,10,0,10,0,10,1
13051011110,0,0,0,0,0,4,0,4,0
13051011111,4,65,0,69,4,65,50,119,0.5798319327731093
13051011112,135,0,0,135,135,20,85,240,0.5625
13051011113,0,0,0,0,15,0,0,15,0
13051011114,55,0,0,55,55,35,45,135,0.4074074074074074
13051011115,40,0,4,44,140,0,60,200,0.22
13051011200,70,4,15,89,100,15,70,185,0.4810810810810811
13051011300,135,60,35,230,200,110,120,430,0.5348837209302325
13051011400,105,25,0,130,295,75,65,435,0.2988505747126437
13051011500,0,0,0,0,4,4,10,18,0
13051011600,45,20,0,65,45,180,100,325,0.2
13051011700,135,25,0,160,305,100,30,435,0.367816091954023
13051011800,20,15,0,35,95,45,10,150,0.23333333333333334
13051011900,160,25,10,195,390,90,60,540,0.3611111111111111
13051980000,0,0,0,0,0,0,0,0,-
13051990000,0,0,0,0,0,0,0,0,-
13053020100,100,15,0,115,155,120,115,390,0.2948717948717949
13053020201,0,0,0,0,0,0,25,25,0
13053020203,15,30,30,75,35,50,85,170,0.4411764705882353
