cbsa,statefp,cnty,stcnty,tract,splittr,qct_id,fips
12060,13,097,13097,0801.04,0,1.30971E+11,13097080104
12060,13,089,13089,0213.01,0,1.3089E+11,13089021301
12060,13,063,13063,0403.07,0,1.3063E+11,13063040307
12060,13,217,13217,1009.03,0,1.32171E+11,13217100903
12060,13,097,13097,0803.06,0,1.30971E+11,13097080306
12060,13,067,13067,0314.13,0,1.3067E+11,13067031413
12060,13,121,13121,0092.01,0,1.3121E+11,13121009201
12060,13,135,13135,0505.61,0,1.31351E+11,13135050561
12060,13,151,13151,0703.24,0,1.31511E+11,13151070324
12060,13,089,13089,0231.11,0,1.3089E+11,13089023111
12060,13,063,13063,0405.10,0,1.3063E+11,13063040510
12060,13,067,13067,0310.04,0,1.3067E+11,13067031004
12060,13,121,13121,0060.00,0,1.3121E+11,13121006000
12060,13,217,13217,1005.04,0,1.32171E+11,13217100504
12060,13,097,13097,0801.06,0,1.30971E+11,13097080106
12060,13,135,13135,0503.31,0,1.31351E+11,13135050331
12060,13,199,13199,9706,0,1.32E+11,13199970600
12060,13,045,13045,9103.02,0,1.30459E+11,13045910302
12060,13,063,13063,0402.03,0,1.3063E+11,13063040203
12060,13,097,13097,0801.07,0,1.30971E+11,13097080107
12060,13,223,13223,1203.05,0,1.32231E+11,13223120305
12060,13,089,13089,0219.06,0,1.3089E+11,13089021906
12060,13,159,13159,0105.01,0,1.3159E+11,13159010501
12060,13,121,13121,0006.01,0,1.3121E+11,13121000601
12060,13,097,13097,0803.04,0,1.30971E+11,13097080304
12060,13,135,13135,0502.29,0,1.31351E+11,13135050229
12060,13,199,13199,9708.01,0,1.32E+11,13199970801
12060,13,063,13063,0406.06,0,1.3063E+11,13063040606
12060,13,035,13035,1502.01,0,1.30352E+11,13035150201
12060,13,089,13089,0234.11,0,1.3089E+11,13089023411
12060,13,089,13089,0233.27,0,1.3089E+11,13089023327
12060,13,089,13089,0214.09,0,1.3089E+11,13089021409
12060,13,089,13089,0231.02,0,1.3089E+11,13089023102
12060,13,089,13089,0214.17,0,1.3089E+11,13089021417
12060,13,135,13135,0502.30,0,1.31351E+11,13135050230
12060,13,015,13015,9608.05,0,1.3016E+11,13015960805
12060,13,089,13089,0219.14,0,1.3089E+11,13089021914
12060,13,117,13117,1304.13,0,1.31171E+11,13117130413
12060,13,135,13135,0505.87,0,1.31351E+11,13135050587
12060,13,063,13063,0405.13,0,1.3063E+11,13063040513
12060,13,121,13121,0021.00,0,1.3121E+11,13121002100
12060,13,121,13121,0085.00,0,1.3121E+11,13121008500
12060,13,121,13121,0019.01,0,1.3121E+11,13121001901
12060,13,121,13121,0086.02,0,1.3121E+11,13121008602
12060,13,089,13089,0231.13,0,1.3089E+11,13089023113
12060,13,121,13121,0081.04,0,1.3121E+11,13121008104
12060,13,089,13089,0232.22,0,1.3089E+11,13089023222
12060,13,121,13121,0106.03,0,1.3121E+11,13121010603
12060,13,089,13089,0218.15,0,1.3089E+11,13089021815
12060,13,121,13121,0062.00,0,1.3121E+11,13121006200
12060,13,135,13135,0504.40,0,1.31351E+11,13135050440
12060,13,063,13063,0405.23,0,1.3063E+11,13063040523
12060,13,067,13067,0304.11,0,1.3067E+11,13067030411
12060,13,135,13135,0505.64,0,1.31351E+11,13135050564
12060,13,089,13089,0235.07,0,1.3089E+11,13089023507
12060,13,121,13121,0077.03,0,1.3121E+11,13121007703
12060,13,089,13089,0217.12,0,1.3089E+11,13089021712
12060,13,121,13121,0070.02,0,1.3121E+11,13121007002
12060,13,063,13063,0402.04,0,1.3063E+11,13063040204
12060,13,255,13255,1607.01,0,1.32552E+11,13255160701
12060,13,135,13135,0503.17,0,1.31351E+11,13135050317
12060,13,121,13121,0105.34,0,1.3121E+11,13121010534
12060,13,227,13227,0506.02,0,1.32271E+11,13227050602
12060,13,063,13063,0406.32,0,1.3063E+11,13063040632
12060,13,057,13057,0907.03,0,1.30571E+11,13057090703
12260,13,245,13245,0104.00,0,1.3245E+11,13245010400
12260,13,245,13245,0106.02,0,1.3245E+11,13245010602
12260,13,245,13245,0110.00,0,1.3245E+11,13245011000
12260,13,245,13245,0003.00,0,1.3245E+11,13245000300
12260,13,245,13245,0103.00,0,1.3245E+11,13245010300
12260,13,245,13245,0002.00,0,1.3245E+11,13245000200
12260,13,245,13245,0105.11,0,1.3245E+11,13245010511
12260,13,245,13245,0111.00,0,1.3245E+11,13245011100
12260,13,245,13245,0105.06,0,1.3245E+11,13245010506
12260,13,245,13245,0106.01,0,1.3245E+11,13245010601
12260,13,245,13245,0014.00,0,1.3245E+11,13245001400
12260,13,245,13245,0105.12,0,1.3245E+11,13245010512
12260,13,245,13245,0007.00,0,1.3245E+11,13245000700
12260,13,245,13245,0105.08,0,1.3245E+11,13245010508
12260,13,245,13245,0105.15,0,1.3245E+11,13245010515
12260,13,245,13245,0105.10,0,1.3245E+11,13245010510
12260,13,245,13245,0012.00,0,1.3245E+11,13245001200
12260,13,245,13245,0109.05,0,1.3245E+11,13245010905
12260,13,033,13033,9504,0,1.3034E+11,13033950400
12260,13,189,13189,9502,0,1.319E+11,13189950200
12260,13,189,13189,9504.02,0,1.319E+11,13189950402
12260,13,245,13245,0105.09,0,1.3245E+11,13245010509
12260,13,245,13245,0105.13,0,1.3245E+11,13245010513
12260,13,033,13033,9507,0,1.3034E+11,13033950700
12260,13,033,13033,9505,0,1.3034E+11,13033950500
12260,13,245,13245,0016.04,0,1.3245E+11,13245001604
12260,13,245,13245,0105.07,0,1.3245E+11,13245010507
12260,13,245,13245,0006.00,0,1.3245E+11,13245000600
1300000,13,009,13009,9705.01,0,1.301E+11,13009970501
1300000,13,175,13175,9509,0,1.3176E+11,13175950900
1300000,13,071,13071,9703.01,0,1.3072E+11,13071970301
1300000,13,299,13299,9504,0,1.33E+11,13299950400
1300000,13,071,13071,9707.02,0,1.3072E+11,13071970702
1300000,13,205,13205,0903.00,0,1.32051E+11,13205090300
1300000,13,269,13269,9503.01,0,1.327E+11,13269950301
1300000,13,285,13285,9608,0,1.3286E+11,13285960800
1300000,13,017,13017,9604,0,1.3018E+11,13017960400
1300000,13,299,13299,9508.02,0,1.33E+11,13299950802
1300000,13,009,13009,9707.01,0,1.301E+11,13009970701
1300000,13,175,13175,9504,0,1.3176E+11,13175950400
1300000,13,299,13299,9507,0,1.33E+11,13299950700
1300000,13,031,13031,1104.01,0,1.30311E+11,13031110401
1300000,13,287,13287,9702.01,0,1.3288E+11,13287970201
1300000,13,165,13165,9601,0,1.3166E+11,13165960100
1300000,13,017,13017,9605.02,0,1.3018E+11,13017960502
1300000,13,193,13193,0003.00,0,1.3193E+11,13193000300
1300000,13,119,13119,8904.02,0,1.31199E+11,13119890402
1300000,13,039,13039,0106.04,0,1.3039E+11,13039010604
1300000,13,043,13043,9501,0,1.3044E+11,13043950100
1300000,13,243,13243,7902,0,1.32438E+11,13243790200
1300000,13,279,13279,9701.01,0,1.328E+11,13279970101
1300000,13,129,13129,9703.01,0,1.313E+11,13129970301
1300000,13,285,13285,9609.01,0,1.3286E+11,13285960901
1300000,13,165,13165,9602,0,1.3166E+11,13165960200
1300000,13,133,13133,9502,0,1.3134E+11,13133950200
1300000,13,031,13031,1104.06,0,1.30311E+11,13031110406
1300000,13,187,13187,9602.04,0,1.3188E+11,13187960204
1300000,13,277,13277,9606.02,0,1.3278E+11,13277960602
1300000,13,031,13031,1104.05,0,1.30311E+11,13031110405
1300000,13,017,13017,9605.01,0,1.3018E+11,13017960501
