data_source,site_name,site_address,site_city,site_county,site_latitude,site_longitude,undesirable_activity
hsi,"SAFT America, Inc.",711 Gil Harbin Industrial Blvd.,Valdosta,Lowndes,30.802222222222223,-83.28777777777778,hazardous_inventory
hsi,Bumper Distributors of Atlanta,471 Peters Street SW,Atlanta,Fulton,33.74333333333333,-84.4088888888889,hazardous_inventory
hsi,ARAMARK Uniform Services,2610 Causton Bluff Road,Savannah,Chatham,32.06583333333333,-81.04583333333333,hazardous_inventory
hsi,Atlanta Gas Light Company - Griffin MGP Site,314 West College Street,Griffin,Spalding,33.24388888888889,-84.26833333333333,hazardous_inventory
hsi,Marzone-Chevron - NPL Site OU2 (formerly Golden Seed Site),Golden Road,Tifton,Tift,31.429722222222225,-83.50194444444445,hazardous_inventory
hsi,Barnett Shoals Road,1860 S Barnett Shoals Road,Athens,Clarke,33.92527777777777,-83.34083333333332,hazardous_inventory
hsi,General Time Corporation,100 Newton Bridge Road,Athens,Clarke,33.980000000000004,-83.3938888888889,hazardous_inventory
hsi,Douglas & Lomason Company,1001 Alabama Street,Carrollton,Carroll,33.58361111111111,-85.09416666666667,hazardous_inventory
hsi,Goldberg Brothers,241 Dan Bowles Road,Augusta,Richmond,33.43861111111111,-81.99388888888889,hazardous_inventory
hsi,"Forstmann & Company, Inc.  (1,1-DCA Site)",161 Nathaniel Drive,East Dublin,Laurens,32.53472222222222,-82.87972222222221,hazardous_inventory
hsi,Sun Laboratories of Atlanta,701 Wharton Circle,Atlanta,Fulton,33.7575,-84.55111111111111,hazardous_inventory
hsi,Southern States Phosphate & Fertilizer Co.,1600 East President St.,Savannah,Chatham,32.07333333333334,-81.0625,hazardous_inventory
hsi,"Truman Parkway, Phase II",President Street,Savannah,Chatham,32.06944444444445,-81.07472222222222,hazardous_inventory
hsi,"Loef Company, Inc. (The)",590 Old Hull Road,Athens,Clarke,33.98166666666667,-83.3425,hazardous_inventory
hsi,"GNB Technologies, Inc. (a.k.a. Exide)",3639 Joy Rd.,Columbus,Muscogee,32.43611111111111,-84.93194444444445,hazardous_inventory
hsi,J. Strom Thurmond Lake Airstrip #1,North of 221  &  West of Boating Club Road,Appling,Columbia,33.66,-82.24777777777778,hazardous_inventory
hsi,Baldwin County Sanitary Landfill,170 Union Hill Church Road,Milledgeville,Baldwin,32.96527777777778,-83.33305555555555,hazardous_inventory
hsi,Laurens County Municipal Solid Waste Landfill,County Landfill Road.,Dublin,Laurens,32.56083333333333,-82.99305555555556,hazardous_inventory
hsi,Hightower Road  MSW Landfill - Phase 2,9480 Old Federal Road,Ball Ground,Forsyth,34.32972222222222,-84.25638888888889,hazardous_inventory
hsi,Madison County Sanitary Landfill 2&3 (SL),Martin Foote Road (Colbert Road),Danielsville,Madison,34.098333333333336,-83.20361111111112,hazardous_inventory
hsi,Morgan County Municipal Solid Waste Landfill,2480 Athens Highway (Hwy 441 North),Madison,Morgan,33.63194444444444,-83.45305555555557,hazardous_inventory
hsi,Screven County Municipal Solid Waste Landfill,Rocky Ford Road west of Waters Station Road,Sylvania,Screven,32.74444444444445,-81.68361111111112,hazardous_inventory
hsi,Statesboro-Bulloch County Lakeview Rd. Landfill,Lakeview Road,Statesboro,Bulloch,32.48083333333334,-81.78972222222222,hazardous_inventory
hsi,Clayton Co. SR3- Lovejoy Site #2 MSWL,11866 Hastings Bridge Road,Lovejoy,Clayton,33.43861111111111,-84.30666666666666,hazardous_inventory
hsi,Tift Site,South Martin Street,East Point,Fulton,33.66694444444444,-84.42583333333334,hazardous_inventory
hsi,"Hunter Army Airfield, Fire Training Area",Northwest portion of airfield,Savannah,Chatham,32.01444444444444,-81.14416666666668,hazardous_inventory
hsi,"Forstmann & Company, Inc. (Old Burn Pit)",161 Nathaniel Drive,East Dublin,Laurens,32.540277777777774,-82.88527777777779,hazardous_inventory
hsi,Celanese Fiber Company,Between Riverside Parkway and Burwell Creek,Rome,Floyd,34.27222222222222,-85.1675,hazardous_inventory
hsi,"AMC International, Inc.",310 Brookhollow Industrial Boulevard,Dalton,Whitfield,34.70777777777778,-84.955,hazardous_inventory
hsi,Stephenson Chemical Company,2444 West Point Road,College Park,Fulton,33.62916666666667,-84.46916666666667,hazardous_inventory
hsi,Hoxsie's Cleaners (Former),106 South Lee Street,Americus,Sumter,32.07166666666667,-84.23222222222222,hazardous_inventory
hsi,Vulcan Performance Chemicals (Former),5544 Oakdale Road,Smyrna,Cobb,33.81916666666667,-84.50166666666667,hazardous_inventory
hsi,Home Oil,223 Cherry Avenue,Blakely,Early,31.37777777777778,-84.94500000000001,hazardous_inventory
hsi,ARAMARK Uniform Services,202 Cassidy Road,Thomasville,Thomas,30.85027777777778,-83.99166666666667,hazardous_inventory
hsi,Rental Uniform Service of Griffin,1156 Uniform Road,Griffin,Spalding,33.22527777777778,-84.27916666666667,hazardous_inventory
hsi,"GIW Industries, Inc.",5000 Wrightsboro Road,Grovetown,Columbia,33.456944444444446,-82.18805555555556,hazardous_inventory
hsi,Jones County Municipal Solid Waste Landfill,Cumslo Road,Gray,Jones,32.983333333333334,-83.53416666666666,hazardous_inventory
hsi,Blue Ribbon Dry Cleaners,2021 Montgomery Street,Savannah,Chatham,32.058611111111105,-81.10444444444444,hazardous_inventory
hsi,Cascade Springs Dry Cleaner,1180 Utoy Springs Rd. SW,Atlanta,Fulton,33.72166666666667,-84.50638888888889,hazardous_inventory
hsi,Mindis Recycling-Shredding Division,2100 Spink Street,Atlanta,Fulton,33.80888888888889,-84.46333333333334,hazardous_inventory
hsi,White County - Duke's Creek MSW  Landfill,Asbestos Road/Hwy 75 Alternate,Cleveland,White,34.66972222222222,-83.76083333333334,hazardous_inventory
hsi,Macon County SR 49 North MSWL,SR 49 North,Oglethorpe,Macon,32.36472222222223,-84.01944444444445,hazardous_inventory
hsi,Dougherty Co. - Fleming Rd. MSW Landfill,3600 Fleming Road,Albany,Dougherty,31.532777777777778,-84.02833333333334,hazardous_inventory
hsi,Spalding County - Yamacraw Road MSWL,350 Parham Road,Griffin,Spalding,33.2575,-84.15944444444445,hazardous_inventory
hsi,Griffin - Shoal Creek Road Landfill,281 Shoal Creek Road,Griffin,Spalding,33.25277777777778,-84.37583333333333,hazardous_inventory
hsi,Burke County Landfill,804 Landfill Road,Waynesboro,Burke,33.080000000000005,-81.96527777777779,hazardous_inventory
hsi,Fayette County - 1st Manassas Mile Road MSWLF,1st Manassas Mile Road,Fayetteville,Fayette,33.43833333333333,-84.47666666666667,hazardous_inventory
hsi,"Colquitt Co. - CR 15, Sunset, Phase I MSWLF",1816 Shade Murphy Road,Moultrie,Colquitt,31.09111111111111,-83.84527777777777,hazardous_inventory
hsi,Lowndes County-State Road 31 MSWL,5522 Madison Hwy,Clyattville,Lowndes,30.67638888888889,-83.32249999999999,hazardous_inventory
hsi,Chattooga County - Penn Bridge Rd Ph 1 (SL) MSWL,Penn Bridge Road,Summerville,Chattooga,34.505833333333335,-85.29638888888888,hazardous_inventory
hsi,"Washington County Landfill-Kaolin Road, Site #2",1862 Kaolin Road,Sandersville,Washington,32.95583333333334,-82.83527777777778,hazardous_inventory
hsi,Barnesville-Goggins Road MSWL,157 Crawford Road,Barnesville,Lamar,33.06583333333333,-84.13777777777779,hazardous_inventory
hsi,Houser's Mill Road MSWLF,Clint Howard Road,Fort Valley,Peach,32.57166666666667,-83.76055555555556,hazardous_inventory
hsi,Habersham County Pea Ridge Road Landfill,Frank Arrowood Rd.,Cornelia,Habersham,34.52583333333333,-83.58833333333332,hazardous_inventory
hsi,Seaboard Industrial Blvd. Site,Seaboard Industrial Blvd.,Atlanta,Fulton,33.80833333333333,-84.43166666666667,hazardous_inventory
hsi,"Ware County-US 82, Waresboro MSWL",4497 Lovett Road,Waresboro,Ware,31.27111111111111,-82.46972222222223,hazardous_inventory
hsi,"Stephens County SR 145, Phases 2 & 3 MSWL",106 Landfill Circle (off SR 145/Liberty Hill Rd),Toccoa,Stephens,34.540277777777774,-83.30916666666667,hazardous_inventory
